#Procedure: <__main__.CVProcedure>
#Parameters:
#	Tc: 0.1 s
#	at: 2025-05-14 16:14:46
#	Delay: 3 s
#	End: -10 V
#	Frequency: 1133 Hz
#	sample: D_2 C-V
#	scan: Vb
#	Start: 0 V
#	Step: 0.2 V
#	Zero bias when done: True
#Data:
time(s),vt(V),Vb_set(V),Vb_meas(V),R_1ω(V),theta_1ω(deg),R_2ω(V),theta_2ω(deg)
3.0,0.05,0.0,2.076,0.000175679,-175.852,4.35139e-06,-145.691
6.1,0.05,-0.2,2.078,0.000139638,-171.958,2.04306e-06,-128.411
9.1,0.05,-0.4,2.078,0.000120045,-170.606,1.27483e-06,-127.217
12.1,0.05,-0.6,2.078,0.000107375,-169.722,8.8805e-07,-123.758
15.1,0.05,-0.8,2.078,9.82914e-05,-169.091,6.60344e-07,-123.512
18.2,0.05,-1.0,2.078,9.14317e-05,-168.629,5.19139e-07,-122.337
21.2,0.05,-1.2,2.078,8.59845e-05,-168.257,4.22966e-07,-121.941
24.2,0.05,-1.4,2.076,8.15196e-05,-167.97,3.38662e-07,-120.308
27.3,0.05,-1.6,2.078,7.7827e-05,-167.727,2.67831e-07,-120.419
30.3,0.05,-1.8,2.078,7.46269e-05,-167.541,2.21833e-07,-117.519
33.3,0.05,-2.0,2.078,7.18492e-05,-167.409,2.44967e-07,-116.904
36.3,0.05,-2.2,2.077,6.94714e-05,-167.26,1.70451e-07,-108.396
39.4,0.05,-2.4,2.078,6.73173e-05,-167.11,1.54231e-07,-115.337
42.4,0.05,-2.6,2.078,6.5398e-05,-167.017,1.15288e-07,-124.015
45.4,0.05,-2.8,2.078,6.37185e-05,-166.952,1.32848e-07,-109.729
48.4,0.05,-3.0,2.077,6.21033e-05,-166.855,1.23992e-07,-113.414
51.5,0.05,-3.2,2.077,6.06842e-05,-166.773,8.25813e-08,-130.557
54.5,0.05,-3.4,2.078,5.93471e-05,-166.686,6.76629e-08,-108.399
57.5,0.05,-3.6,2.078,5.81903e-05,-166.624,7.58834e-08,-113.425
60.5,0.05,-3.8,2.078,5.71038e-05,-166.547,7.06399e-08,-129.161
63.6,0.05,-4.0,2.078,5.60364e-05,-166.519,4.66145e-08,-145.572
66.6,0.05,-4.2,2.077,5.50654e-05,-166.466,1.07333e-07,-107.359
69.6,0.05,-4.4,2.078,5.41727e-05,-166.404,6.34105e-08,-121.195
72.7,0.05,-4.6,2.077,5.33477e-05,-166.339,6.74223e-08,-152.015
75.7,0.05,-4.8,2.076,5.25358e-05,-166.299,4.90798e-08,-112.402
78.7,0.05,-5.0,2.077,5.17794e-05,-166.24,7.68562e-08,-145.237
81.7,0.05,-5.2,2.078,5.10949e-05,-166.213,3.33353e-08,154.438
84.8,0.05,-5.4,2.078,5.03994e-05,-166.088,1.05209e-07,-54.222
87.8,0.05,-5.6,2.078,4.98626e-05,-166.077,6.33104e-08,-84.827
90.8,0.05,-5.8,2.078,4.91797e-05,-166.07,6.20174e-08,-164.835
93.8,0.05,-6.0,2.078,4.8627e-05,-165.941,5.72172e-08,-132.735
96.9,0.05,-6.2,2.077,4.81101e-05,-165.895,1.67319e-08,-52.249
99.9,0.05,-6.4,2.077,4.75982e-05,-165.924,1.99107e-08,-87.828
102.9,0.05,-6.6,2.077,4.713e-05,-165.835,4.31922e-08,-112.717
105.9,0.05,-6.8,2.077,4.66736e-05,-165.725,7.84329e-08,-120.837
109.0,0.05,-7.0,2.078,4.61852e-05,-165.776,8.31491e-08,116.376
112.0,0.05,-7.2,2.078,4.57712e-05,-165.63,7.00916e-08,-97.554
115.0,0.05,-7.4,2.077,4.5353e-05,-165.665,2.99815e-08,61.975
118.1,0.05,-7.6,2.078,4.49638e-05,-165.517,1.24958e-08,28.041
121.1,0.05,-7.8,2.078,4.47364e-05,-165.489,3.15787e-08,-103.759
124.1,0.05,-8.0,2.078,4.43257e-05,-165.575,9.54432e-08,0.09
127.1,0.05,-8.2,2.078,4.39869e-05,-165.476,5.83239e-08,111.495
130.2,0.05,-8.4,2.078,4.36218e-05,-165.371,8.53054e-08,-128.251
133.2,0.05,-8.6,2.077,4.33209e-05,-165.333,1.26106e-07,-110.245
136.2,0.05,-8.8,2.077,4.29615e-05,-165.249,9.51142e-08,-76.955
139.3,0.05,-9.0,2.077,4.27384e-05,-165.186,1.00747e-07,-119.973
142.3,0.05,-9.2,2.077,4.24039e-05,-165.099,6.56409e-08,175.828
145.3,0.05,-9.4,2.076,4.22247e-05,-164.96,8.72273e-08,-54.901
148.3,0.05,-9.6,2.077,4.18484e-05,-165.062,1.13877e-07,-66.003
151.4,0.05,-9.8,2.078,4.16525e-05,-165.0,4.88459e-08,83.527
154.4,0.05,-10.0,2.078,4.14063e-05,-164.883,6.11374e-08,-166.956
