#Procedure: <__main__.CVProcedure>
#Parameters:
#	Tc: 0.003 s
#	at: 2025-05-14 15:41:53
#	Delay: 3 s
#	End: -3 V
#	Frequency: 1133 Hz
#	sample: noise_3ms
#	scan: time
#	Start: 0 V
#	Step: 0.2 V
#	Zero bias when done: True
#Data:
time(s),vt(V),Vb_set(V),Vb_meas(V),R_1ω(V),theta_1ω(deg),R_2ω(V),theta_2ω(deg)
0.0,0.05,0.0,2.078,0.0468927,-166.793,0.00053594,157.872
3.1,0.05,0.0,2.078,0.0470471,-168.097,0.000351922,83.455
6.1,0.05,0.0,2.076,0.0469717,-167.82,0.000231744,110.051
9.1,0.05,0.0,2.078,0.0476876,-167.084,0.000362314,-103.206
12.1,0.05,0.0,2.078,0.0472141,-167.27,0.000245878,152.407
15.2,0.05,0.0,2.078,0.0475865,-167.507,0.000235588,-58.302
18.2,0.05,0.0,2.078,0.0479943,-167.726,0.00028756,-15.882
21.2,0.05,0.0,2.078,0.0470674,-167.974,0.00041824,83.965
24.2,0.05,0.0,2.078,0.047426,-166.49,0.000336346,109.87
27.3,0.05,0.0,2.078,0.0471715,-167.325,0.000284675,133.4
30.3,0.05,0.0,2.076,0.0466571,-167.325,0.000448138,-75.538
33.3,0.05,0.0,2.078,0.0467616,-167.934,0.00119408,-163.89
36.4,0.05,0.0,2.078,0.0470204,-167.347,0.000420865,100.617
39.4,0.05,0.0,2.078,0.0479957,-166.892,0.000401684,-120.97
42.4,0.05,0.0,2.077,0.0476368,-167.639,0.000269204,45.363
45.4,0.05,0.0,2.078,0.0471893,-167.803,0.000700249,127.703
48.4,0.05,0.0,2.078,0.0476049,-167.527,0.000258225,-147.901
51.5,0.05,0.0,2.078,0.0471964,-167.553,0.000715286,150.893
54.5,0.05,0.0,2.078,0.047265,-166.999,0.000182675,-163.901
57.5,0.05,0.0,2.078,0.047083,-166.979,0.000613152,170.133
60.5,0.05,0.0,2.078,0.0477582,-167.349,0.000750256,88.232
63.6,0.05,0.0,2.077,0.0466655,-167.852,0.000766483,-167.559
66.6,0.05,0.0,2.077,0.0470369,-167.599,0.000170761,-16.811
69.6,0.05,0.0,2.077,0.0474599,-166.952,0.000702077,-154.507
72.6,0.05,0.0,2.077,0.0472246,-167.545,0.000617959,59.117
