#Procedure: <__main__.CVProcedure>
#Parameters:
#	Tc: 0.001 s
#	at: 2025-05-14 15:40:30
#	Delay: 3 s
#	End: -3 V
#	Frequency: 1133 Hz
#	sample: noise_1ms
#	scan: time
#	Start: 0 V
#	Step: 0.2 V
#	Zero bias when done: True
#Data:
time(s),vt(V),Vb_set(V),Vb_meas(V),R_1ω(V),theta_1ω(deg),R_2ω(V),theta_2ω(deg)
0.1,0.05,0.0,2.076,0.0464448,-166.513,0.000806267,81.038
3.1,0.05,0.0,2.077,0.0480222,-166.644,0.00114205,-73.314
6.1,0.05,0.0,2.078,0.047152,-167.742,0.000862798,-19.681
9.1,0.05,0.0,2.077,0.0473443,-167.783,0.000580846,-120.655
28.9,0.05,0.0,2.078,0.0474525,-167.938,0.000312783,11.81
31.9,0.05,0.0,2.078,0.0472368,-166.055,0.000596956,-106.449
34.9,0.05,0.0,2.078,0.0462431,-167.134,0.00042532,171.059
38.0,0.05,0.0,2.078,0.0470048,-167.907,0.000675178,100.84
41.0,0.05,0.0,2.077,0.0461494,-168.258,0.000504905,65.512
44.0,0.05,0.0,2.078,0.0471661,-166.282,0.000415803,84.951
47.0,0.05,0.0,2.078,0.046482,-168.46,0.000417428,58.913
50.1,0.05,0.0,2.078,0.0464409,-167.102,0.000622221,-80.469
53.1,0.05,0.0,2.078,0.0462094,-168.0,0.000334182,141.865
56.1,0.05,0.0,2.078,0.0468374,-167.833,0.000823965,9.262
59.1,0.05,0.0,2.077,0.0472212,-168.094,0.000138516,-83.079
62.2,0.05,0.0,2.077,0.0474512,-165.869,0.00036082,-143.156
65.2,0.05,0.0,2.078,0.0473213,-167.776,0.000701824,-73.821
68.2,0.05,0.0,2.078,0.0462519,-167.923,0.000640713,110.152
71.3,0.05,0.0,2.078,0.0476238,-167.416,0.00124052,-163.801
