#Procedure: <__main__.CVProcedure>
#Parameters:
#	Tc: 0.3 s
#	at: 2025-05-14 15:47:43
#	Delay: 3 s
#	End: -3 V
#	Frequency: 1133 Hz
#	sample: noise_300ms
#	scan: time
#	Start: 0 V
#	Step: 0.2 V
#	Zero bias when done: True
#Data:
time(s),vt(V),Vb_set(V),Vb_meas(V),R_1ω(V),theta_1ω(deg),R_2ω(V),theta_2ω(deg)
0.0,0.05,0.0,2.077,0.047192,-167.3,0.000102458,-150.965
3.1,0.05,0.0,2.078,0.0472421,-167.209,9.22276e-05,-174.42
6.1,0.05,0.0,2.078,0.047212,-167.281,0.000107022,175.667
9.1,0.05,0.0,2.078,0.04724,-167.323,9.11696e-05,-168.314
12.1,0.05,0.0,2.078,0.0471939,-167.318,0.000143383,-139.792
15.2,0.05,0.0,2.078,0.0471954,-167.327,0.000122022,-161.196
18.2,0.05,0.0,2.078,0.0472176,-167.278,7.64287e-05,179.138
21.2,0.05,0.0,2.078,0.0472073,-167.3,8.82537e-05,-159.513
24.2,0.05,0.0,2.078,0.0472321,-167.293,0.000158307,165.096
27.3,0.05,0.0,2.078,0.0472106,-167.227,0.00015274,-156.999
30.3,0.05,0.0,2.078,0.0471843,-167.282,0.000129026,-163.099
33.3,0.05,0.0,2.077,0.0472178,-167.19,0.00016023,-145.638
36.3,0.05,0.0,2.077,0.0471772,-167.206,0.000108232,-165.57
39.4,0.05,0.0,2.076,0.047188,-167.275,0.000183517,171.899
42.4,0.05,0.0,2.077,0.0471913,-167.298,0.000107622,-170.177
45.4,0.05,0.0,2.078,0.0471918,-167.258,0.000156448,-167.07
48.5,0.05,0.0,2.077,0.0472384,-167.188,0.00013124,-152.764
51.5,0.05,0.0,2.077,0.0471386,-167.194,8.6817e-05,-155.408
54.5,0.05,0.0,2.078,0.0471434,-167.262,0.000134092,-174.478
57.5,0.05,0.0,2.077,0.0472212,-167.231,0.000125213,-162.046
60.6,0.05,0.0,2.077,0.0472112,-167.285,0.000115698,-151.51
63.6,0.05,0.0,2.078,0.0472338,-167.253,0.000120137,-157.864
66.6,0.05,0.0,2.078,0.0472559,-167.27,0.000117855,-169.949
69.6,0.05,0.0,2.077,0.0472124,-167.268,0.000127133,-156.261
72.7,0.05,0.0,2.078,0.0472466,-167.233,0.00011065,165.271
