#Procedure: <__main__.CVProcedure>
#Parameters:
#	Tc: 0.1 s
#	at: 2025-05-14 17:01:56
#	Delay: 3 s
#	End: -10 V
#	Frequency: 1533 Hz
#	sample: D_2 Phi-V 1533
#	scan: Vb
#	Start: 0 V
#	Step: 0.2 V
#	Zero bias when done: True
#Data:
time(s),vt(V),Vb_set(V),Vb_meas(V),R_1ω(V),theta_1ω(deg),R_2ω(V),theta_2ω(deg)
3.0,0.05,0.0,2.077,0.000174367,-179.673,3.98972e-06,-148.698
6.1,0.05,-0.2,2.078,0.000139491,-176.385,1.95053e-06,-136.005
9.1,0.05,-0.4,2.078,0.000120267,-175.061,1.24022e-06,-134.67
12.1,0.05,-0.6,2.078,0.000107741,-174.195,8.69528e-07,-133.973
15.1,0.05,-0.8,2.076,9.87573e-05,-173.545,6.32503e-07,-131.363
18.2,0.05,-1.0,2.078,9.19354e-05,-173.045,5.06587e-07,-131.166
21.2,0.05,-1.2,2.077,8.65478e-05,-172.674,4.20053e-07,-128.921
24.2,0.05,-1.4,2.077,8.21205e-05,-172.377,3.43593e-07,-126.087
27.2,0.05,-1.6,2.078,7.83831e-05,-172.146,2.81826e-07,-126.428
30.3,0.05,-1.8,2.077,7.51941e-05,-171.916,2.35356e-07,-125.747
33.3,0.05,-2.0,2.078,7.2431e-05,-171.751,1.89589e-07,-125.787
36.3,0.05,-2.2,2.076,7.00533e-05,-171.598,1.69739e-07,-122.549
39.4,0.05,-2.4,2.078,6.79083e-05,-171.445,1.50549e-07,-124.265
42.4,0.05,-2.6,2.078,6.5995e-05,-171.341,1.26841e-07,-114.525
45.4,0.05,-2.8,2.077,6.42724e-05,-171.225,1.12054e-07,-119.443
48.4,0.05,-3.0,2.078,6.2664e-05,-171.149,1.08251e-07,-116.169
51.4,0.05,-3.2,2.077,6.12368e-05,-171.01,9.88018e-08,-116.856
54.5,0.05,-3.4,2.078,5.9919e-05,-170.929,8.78632e-08,-129.343
57.5,0.05,-3.6,2.078,5.87117e-05,-170.878,8.51109e-08,-110.085
60.5,0.05,-3.8,2.078,5.75864e-05,-170.78,6.87513e-08,-114.891
63.5,0.05,-4.0,2.077,5.65737e-05,-170.743,5.3339e-08,-126.756
66.6,0.05,-4.2,2.077,5.56116e-05,-170.638,6.87486e-08,-133.437
69.6,0.05,-4.4,2.077,5.46955e-05,-170.59,6.62213e-08,-114.692
72.6,0.05,-4.6,2.078,5.38187e-05,-170.52,4.5566e-08,-101.706
75.6,0.05,-4.8,2.078,5.30324e-05,-170.498,5.12332e-08,-106.388
78.7,0.05,-5.0,2.077,5.22865e-05,-170.443,4.92169e-08,-117.053
81.7,0.05,-5.2,2.077,5.16336e-05,-170.376,3.74405e-08,-109.772
84.7,0.05,-5.4,2.077,5.09106e-05,-170.318,4.02987e-08,-113.31
87.7,0.05,-5.6,2.078,5.0316e-05,-170.232,6.03241e-08,-100.39
90.8,0.05,-5.8,2.078,4.977e-05,-170.184,4.82315e-08,-116.244
93.8,0.05,-6.0,2.078,4.91446e-05,-170.121,4.17914e-08,-124.251
96.8,0.05,-6.2,2.078,4.86129e-05,-170.078,2.6279e-08,-136.013
99.9,0.05,-6.4,2.078,4.80942e-05,-170.068,2.65077e-08,-70.682
102.9,0.05,-6.6,2.078,4.76208e-05,-170.022,4.47516e-08,-114.963
105.9,0.05,-6.8,2.078,4.71272e-05,-169.961,5.85559e-08,-51.044
108.9,0.05,-7.0,2.077,4.67499e-05,-169.897,3.27876e-08,-100.122
112.0,0.05,-7.2,2.076,4.6314e-05,-169.781,2.52986e-08,-109.801
115.0,0.05,-7.4,2.076,4.5856e-05,-169.67,6.36729e-08,-109.882
118.0,0.05,-7.6,2.076,4.55049e-05,-169.724,4.53376e-08,-95.812
121.1,0.05,-7.8,2.078,4.5124e-05,-169.592,3.48211e-08,-27.893
124.1,0.05,-8.0,2.077,4.46984e-05,-169.642,1.40636e-08,149.671
127.1,0.05,-8.2,2.077,4.44071e-05,-169.615,4.76658e-08,-61.89
130.2,0.05,-8.4,2.078,4.40265e-05,-169.52,5.3466e-08,-118.321
133.2,0.05,-8.6,2.078,4.37498e-05,-169.421,4.36736e-08,153.213
136.2,0.05,-8.8,2.078,4.34565e-05,-169.417,1.96532e-08,-116.794
139.2,0.05,-9.0,2.078,4.3155e-05,-169.312,1.49799e-08,-132.584
142.3,0.05,-9.2,2.078,4.29154e-05,-169.345,2.41287e-08,-69.296
145.3,0.05,-9.4,2.078,4.26659e-05,-169.201,3.08751e-08,-97.071
148.3,0.05,-9.6,2.078,4.24448e-05,-169.215,1.64009e-08,56.859
151.4,0.05,-9.8,2.076,4.22476e-05,-169.1,3.51105e-08,-83.057
154.4,0.05,-10.0,2.078,4.19542e-05,-169.167,6.92296e-08,-117.572
