#Procedure: <__main__.CVProcedure>
#Parameters:
#	Tc: 0.1 s
#	at: 2025-05-14 16:55:52
#	Delay: 3 s
#	End: -10 V
#	Frequency: 1333 Hz
#	sample: D_2 Phi-V 1333
#	scan: Vb
#	Start: 0 V
#	Step: 0.2 V
#	Zero bias when done: True
#Data:
time(s),vt(V),Vb_set(V),Vb_meas(V),R_1ω(V),theta_1ω(deg),R_2ω(V),theta_2ω(deg)
3.0,0.05,0.0,2.079,0.000175589,-178.279,4.12545e-06,-149.914
6.1,0.05,-0.2,2.076,0.000140189,-174.786,1.98718e-06,-135.518
9.1,0.05,-0.4,2.078,0.000120674,-173.431,1.26886e-06,-133.836
12.1,0.05,-0.6,2.076,0.000107988,-172.525,8.80692e-07,-133.237
15.1,0.05,-0.8,2.078,9.88734e-05,-171.904,6.54692e-07,-131.883
18.2,0.05,-1.0,2.077,9.19963e-05,-171.423,5.24406e-07,-127.441
21.2,0.05,-1.2,2.078,8.65363e-05,-171.023,4.25363e-07,-129.007
24.2,0.05,-1.4,2.078,8.20723e-05,-170.732,3.45923e-07,-128.635
27.3,0.05,-1.6,2.078,7.83415e-05,-170.494,2.76637e-07,-122.434
30.3,0.05,-1.8,2.077,7.51371e-05,-170.287,2.32668e-07,-127.414
33.3,0.05,-2.0,2.078,7.23812e-05,-170.101,2.20271e-07,-123.722
36.3,0.05,-2.2,2.077,6.99436e-05,-169.971,1.72528e-07,-121.992
39.4,0.05,-2.4,2.078,6.78404e-05,-169.836,1.41846e-07,-122.175
42.4,0.05,-2.6,2.078,6.58791e-05,-169.7,1.52701e-07,-125.861
45.4,0.05,-2.8,2.078,6.41289e-05,-169.611,9.54143e-08,-107.39
48.4,0.05,-3.0,2.078,6.25929e-05,-169.537,1.1299e-07,-128.668
51.5,0.05,-3.2,2.078,6.11357e-05,-169.416,8.67747e-08,-136.976
54.5,0.05,-3.4,2.078,5.9834e-05,-169.355,9.03793e-08,-117.388
57.5,0.05,-3.6,2.078,5.86193e-05,-169.277,1.17907e-07,-112.982
60.5,0.05,-3.8,2.079,5.74716e-05,-169.189,5.87813e-08,-117.781
63.6,0.05,-4.0,2.077,5.64438e-05,-169.119,7.24649e-08,-130.879
66.6,0.05,-4.2,2.078,5.54899e-05,-169.058,7.24917e-08,-124.321
69.6,0.05,-4.4,2.076,5.45577e-05,-169.01,6.79777e-08,-124.805
72.7,0.05,-4.6,2.078,5.37342e-05,-168.934,6.23372e-08,-115.9
75.7,0.05,-4.8,2.077,5.29539e-05,-168.901,4.21395e-08,-126.005
78.7,0.05,-5.0,2.078,5.21673e-05,-168.8,6.44729e-08,-128.848
81.7,0.05,-5.2,2.077,5.14656e-05,-168.785,6.98714e-08,-153.856
84.7,0.05,-5.4,2.078,5.08371e-05,-168.694,4.8318e-08,-118.527
87.8,0.05,-5.6,2.077,5.01683e-05,-168.637,1.34237e-08,-67.171
90.8,0.05,-5.8,2.078,4.95386e-05,-168.609,5.11313e-08,-61.001
93.8,0.05,-6.0,2.078,4.89938e-05,-168.644,4.3481e-08,-153.559
96.9,0.05,-6.2,2.078,4.84756e-05,-168.49,3.70377e-08,-94.39
99.9,0.05,-6.4,2.078,4.79647e-05,-168.432,4.26215e-08,-161.197
102.9,0.05,-6.6,2.077,4.74719e-05,-168.396,5.54936e-08,-104.359
105.9,0.05,-6.8,2.078,4.69743e-05,-168.319,5.81727e-08,-138.352
109.0,0.05,-7.0,2.077,4.66014e-05,-168.27,4.25597e-08,-143.057
112.0,0.05,-7.2,2.078,4.61527e-05,-168.255,2.47208e-08,-93.832
115.0,0.05,-7.4,2.078,4.58142e-05,-168.14,4.02821e-08,-135.273
118.1,0.05,-7.6,2.078,4.53711e-05,-168.151,4.86016e-08,-155.094
121.1,0.05,-7.8,2.076,4.49509e-05,-168.045,1.82052e-08,107.707
124.1,0.05,-8.0,2.077,4.46141e-05,-168.055,4.14385e-08,-79.176
127.1,0.05,-8.2,2.078,4.42604e-05,-167.99,2.39447e-08,-23.003
130.2,0.05,-8.4,2.078,4.39793e-05,-167.904,5.92892e-08,42.175
133.2,0.05,-8.6,2.077,4.3663e-05,-167.869,2.1142e-08,20.32
136.2,0.05,-8.8,2.076,4.33189e-05,-167.818,6.2161e-08,78.48
139.2,0.05,-9.0,2.077,4.30807e-05,-167.738,3.6773e-08,1.92
142.3,0.05,-9.2,2.078,4.28771e-05,-167.753,2.68451e-08,-135.401
145.3,0.05,-9.4,2.078,4.25459e-05,-167.673,6.48714e-08,-8.658
148.3,0.05,-9.6,2.077,4.22523e-05,-167.556,5.02511e-08,-148.458
151.3,0.05,-9.8,2.078,4.20267e-05,-167.468,1.41878e-07,-105.196
154.4,0.05,-10.0,2.077,4.17984e-05,-167.557,6.19709e-08,156.42
