#Procedure: <__main__.CVProcedure>
#Parameters:
#	Tc: 0.1 s
#	at: 2025-05-14 16:21:04
#	Delay: 3 s
#	End: -10 V
#	Frequency: 1133 Hz
#	sample: D_4 C-V
#	scan: Vb
#	Start: 0 V
#	Step: 0.2 V
#	Zero bias when done: True
#Data:
time(s),vt(V),Vb_set(V),Vb_meas(V),R_1ω(V),theta_1ω(deg),R_2ω(V),theta_2ω(deg)
3.0,0.05,0.0,2.078,0.000115906,-165.611,1.78918e-06,-130.427
6.1,0.05,-0.2,2.077,0.000101551,-164.113,9.86282e-07,-115.908
9.1,0.05,-0.4,2.077,9.23293e-05,-163.901,6.989e-07,-114.005
12.1,0.05,-0.6,2.077,8.55985e-05,-163.797,5.40559e-07,-111.607
15.1,0.05,-0.8,2.077,8.03152e-05,-163.723,4.17177e-07,-112.136
18.2,0.05,-1.0,2.077,7.60276e-05,-163.637,3.42105e-07,-114.155
21.2,0.05,-1.2,2.078,7.24448e-05,-163.633,2.81308e-07,-110.608
24.2,0.05,-1.4,2.077,6.93822e-05,-163.579,2.4086e-07,-114.171
27.3,0.05,-1.6,2.077,6.67118e-05,-163.529,1.90256e-07,-110.207
30.3,0.05,-1.8,2.078,6.43894e-05,-163.484,1.71732e-07,-111.079
33.3,0.05,-2.0,2.078,6.23407e-05,-163.495,1.53799e-07,-111.096
36.3,0.05,-2.2,2.078,6.04641e-05,-163.429,1.36342e-07,-99.078
39.4,0.05,-2.4,2.078,5.87894e-05,-163.449,1.29921e-07,-106.377
42.4,0.05,-2.6,2.078,5.72508e-05,-163.397,1.07771e-07,-111.295
45.4,0.05,-2.8,2.077,5.5878e-05,-163.367,1.18098e-07,-103.831
48.5,0.05,-3.0,2.078,5.46194e-05,-163.351,1.17227e-07,-113.861
51.5,0.05,-3.2,2.078,5.34089e-05,-163.282,1.15909e-07,-116.505
54.5,0.05,-3.4,2.078,5.23188e-05,-163.332,5.54018e-08,-114.895
57.5,0.05,-3.6,2.078,5.12652e-05,-163.289,9.41831e-08,-96.287
60.6,0.05,-3.8,2.078,5.03529e-05,-163.216,7.99565e-08,-105.935
63.6,0.05,-4.0,2.077,4.94147e-05,-163.259,9.63668e-08,-96.123
66.6,0.05,-4.2,2.078,4.86355e-05,-163.225,4.86248e-08,-83.227
69.6,0.05,-4.4,2.076,4.7847e-05,-163.187,4.90794e-08,-147.959
72.7,0.05,-4.6,2.078,4.70872e-05,-163.156,5.21273e-08,-144.708
75.7,0.05,-4.8,2.077,4.64159e-05,-163.116,5.78026e-08,-73.187
78.7,0.05,-5.0,2.078,4.57393e-05,-163.143,8.01062e-08,-165.21
81.7,0.05,-5.2,2.078,4.50731e-05,-163.111,4.52472e-08,-149.68
84.8,0.05,-5.4,2.078,4.4556e-05,-163.083,4.49553e-08,-89.949
87.8,0.05,-5.6,2.078,4.39386e-05,-162.971,7.76652e-08,-113.81
90.8,0.05,-5.8,2.077,4.34321e-05,-162.981,5.58394e-08,-87.071
93.9,0.05,-6.0,2.078,4.29088e-05,-162.946,6.50067e-08,-56.446
96.9,0.05,-6.2,2.078,4.24251e-05,-162.862,6.05665e-08,-106.933
99.9,0.05,-6.4,2.078,4.19188e-05,-162.848,1.10028e-07,-86.355
102.9,0.05,-6.6,2.078,4.15078e-05,-162.912,2.88069e-08,-20.252
106.0,0.05,-6.8,2.078,4.11362e-05,-162.818,1.01679e-07,-156.269
109.0,0.05,-7.0,2.077,4.07004e-05,-162.769,2.10908e-08,-75.12
112.0,0.05,-7.2,2.077,4.02189e-05,-162.766,3.49793e-08,-155.22
115.0,0.05,-7.4,2.077,3.99146e-05,-162.654,4.49949e-08,-124.034
118.1,0.05,-7.6,2.077,3.95038e-05,-162.613,4.37629e-08,-103.076
121.1,0.05,-7.8,2.076,3.92135e-05,-162.633,2.83523e-08,57.725
124.1,0.05,-8.0,2.077,3.8834e-05,-162.597,9.80065e-08,-149.013
127.1,0.05,-8.2,2.077,3.8542e-05,-162.549,4.81048e-08,9.126
130.2,0.05,-8.4,2.077,3.81989e-05,-162.518,1.09792e-07,-123.796
133.2,0.05,-8.6,2.077,3.79207e-05,-162.43,8.0199e-08,-118.939
136.2,0.05,-8.8,2.077,3.7715e-05,-162.43,5.20765e-08,158.046
139.3,0.05,-9.0,2.077,3.74102e-05,-162.521,7.62781e-08,-88.031
142.3,0.05,-9.2,2.077,3.71132e-05,-162.388,9.03472e-08,-89.041
145.3,0.05,-9.4,2.078,3.68988e-05,-162.294,4.5375e-08,-115.565
148.3,0.05,-9.6,2.077,3.65967e-05,-162.39,3.65831e-08,56.771
151.4,0.05,-9.8,2.076,3.63378e-05,-162.33,5.14566e-08,-121.42
154.4,0.05,-10.0,2.078,3.61644e-05,-162.097,8.35127e-08,-74.929
