#Procedure: <__main__.CVProcedure>
#Parameters:
#	Tc: 0.1 s
#	at: 2025-05-14 16:50:00
#	Delay: 3 s
#	End: -10 V
#	Frequency: 1033 Hz
#	sample: D_2 Phi-V 1033
#	scan: Vb
#	Start: 0 V
#	Step: 0.2 V
#	Zero bias when done: True
#Data:
time(s),vt(V),Vb_set(V),Vb_meas(V),R_1ω(V),theta_1ω(deg),R_2ω(V),theta_2ω(deg)
3.0,0.05,0.0,2.078,0.00017811,-174.742,4.50045e-06,-153.031
6.1,0.05,-0.2,2.077,0.000140583,-170.793,2.0772e-06,-135.466
9.1,0.05,-0.4,2.079,0.000120507,-169.429,1.30423e-06,-132.913
12.1,0.05,-0.6,2.077,0.000107615,-168.545,9.18335e-07,-131.296
15.1,0.05,-0.8,2.078,9.84306e-05,-167.936,6.8826e-07,-129.919
18.1,0.05,-1.0,2.078,9.14531e-05,-167.462,5.34523e-07,-129.468
21.2,0.05,-1.2,2.078,8.6003e-05,-167.11,4.12038e-07,-126.509
24.2,0.05,-1.4,2.078,8.14951e-05,-166.786,3.32494e-07,-124.63
27.2,0.05,-1.6,2.079,7.7761e-05,-166.562,2.92491e-07,-125.221
30.2,0.05,-1.8,2.079,7.45842e-05,-166.393,2.3893e-07,-123.54
33.3,0.05,-2.0,2.078,7.18249e-05,-166.187,2.00474e-07,-125.976
36.3,0.05,-2.2,2.078,6.93851e-05,-166.087,1.72637e-07,-118.68
39.3,0.05,-2.4,2.078,6.72548e-05,-165.934,1.55423e-07,-127.539
42.4,0.05,-2.6,2.076,6.53696e-05,-165.865,1.15663e-07,-123.461
45.4,0.05,-2.8,2.078,6.36046e-05,-165.763,1.24336e-07,-122.867
48.4,0.05,-3.0,2.079,6.20261e-05,-165.726,1.31696e-07,-124.591
51.4,0.05,-3.2,2.077,6.05869e-05,-165.604,9.46728e-08,-117.873
54.5,0.05,-3.4,2.078,5.93145e-05,-165.503,8.54926e-08,-112.41
57.5,0.05,-3.6,2.079,5.80908e-05,-165.468,8.36344e-08,-124.029
60.5,0.05,-3.8,2.077,5.69706e-05,-165.391,4.61286e-08,-96.428
63.6,0.05,-4.0,2.078,5.5936e-05,-165.325,7.40747e-08,-116.902
66.6,0.05,-4.2,2.078,5.49592e-05,-165.256,8.93393e-08,-112.864
69.6,0.05,-4.4,2.078,5.41016e-05,-165.215,5.13398e-08,-94.808
72.6,0.05,-4.6,2.076,5.33041e-05,-165.172,4.19281e-08,-117.298
75.7,0.05,-4.8,2.078,5.23822e-05,-165.095,5.61873e-08,-102.639
78.7,0.05,-5.0,2.078,5.17235e-05,-165.055,9.75503e-08,-90.444
81.7,0.05,-5.2,2.078,5.09663e-05,-165.004,4.0044e-08,-99.093
84.7,0.05,-5.4,2.078,5.0325e-05,-164.97,6.24757e-08,-65.148
87.8,0.05,-5.6,2.078,4.9728e-05,-164.884,2.75291e-08,-48.87
90.8,0.05,-5.8,2.078,4.90946e-05,-164.839,4.07849e-08,-82.647
93.8,0.05,-6.0,2.078,4.85718e-05,-164.744,3.50698e-08,-91.777
96.9,0.05,-6.2,2.078,4.80376e-05,-164.773,8.96736e-08,-146.41
99.9,0.05,-6.4,2.078,4.74875e-05,-164.671,6.17345e-08,-166.727
102.9,0.05,-6.6,2.078,4.701e-05,-164.606,1.00535e-08,-71.454
105.9,0.05,-6.8,2.078,4.65914e-05,-164.632,6.02072e-09,15.766
109.0,0.05,-7.0,2.078,4.61096e-05,-164.512,3.28119e-08,-178.13
112.0,0.05,-7.2,2.078,4.56854e-05,-164.543,7.47317e-08,-81.555
115.0,0.05,-7.4,2.077,4.52252e-05,-164.436,1.83592e-08,4.404
118.0,0.05,-7.6,2.078,4.48556e-05,-164.279,5.45955e-08,-144.884
121.1,0.05,-7.8,2.078,4.45235e-05,-164.27,4.49222e-08,-13.89
124.1,0.05,-8.0,2.078,4.41434e-05,-164.292,2.52647e-08,176.995
127.1,0.05,-8.2,2.078,4.38068e-05,-164.203,7.9832e-08,-102.121
130.1,0.05,-8.4,2.077,4.35017e-05,-164.161,3.7991e-08,-137.238
133.2,0.05,-8.6,2.078,4.31572e-05,-164.06,3.45168e-08,96.777
136.2,0.05,-8.8,2.077,4.29036e-05,-163.985,1.06188e-07,-157.092
139.2,0.05,-9.0,2.078,4.25459e-05,-163.989,3.21336e-08,-175.106
142.2,0.05,-9.2,2.078,4.23377e-05,-163.843,7.23712e-08,-119.661
145.3,0.05,-9.4,2.077,4.19955e-05,-163.75,2.60899e-08,29.553
148.3,0.05,-9.6,2.078,4.17858e-05,-163.766,5.27128e-08,-53.849
151.3,0.05,-9.8,2.079,4.15314e-05,-163.757,1.05801e-07,115.949
154.4,0.05,-10.0,2.077,4.1226e-05,-163.536,1.00423e-07,87.237
