#Procedure: <__main__.CVProcedure>
#Parameters:
#	Tc: 0.1 s
#	at: 2025-05-14 16:58:42
#	Delay: 3 s
#	End: -10 V
#	Frequency: 1433 Hz
#	sample: D_2 Phi-V 1433
#	scan: Vb
#	Start: 0 V
#	Step: 0.2 V
#	Zero bias when done: True
#Data:
time(s),vt(V),Vb_set(V),Vb_meas(V),R_1ω(V),theta_1ω(deg),R_2ω(V),theta_2ω(deg)
3.0,0.05,0.0,2.078,0.000174894,-179.055,4.05054e-06,-149.074
6.1,0.05,-0.2,2.077,0.000139926,-175.673,1.96034e-06,-135.769
9.1,0.05,-0.4,2.078,0.000120537,-174.334,1.23246e-06,-134.118
12.1,0.05,-0.6,2.078,0.000107949,-173.45,8.73446e-07,-131.999
15.2,0.05,-0.8,2.078,9.89185e-05,-172.789,6.61738e-07,-130.164
18.2,0.05,-1.0,2.078,9.20446e-05,-172.311,5.19623e-07,-128.559
21.2,0.05,-1.2,2.076,8.65854e-05,-171.932,4.07889e-07,-127.298
24.2,0.05,-1.4,2.078,8.21523e-05,-171.611,3.24952e-07,-126.147
27.2,0.05,-1.6,2.078,7.84105e-05,-171.37,2.79165e-07,-127.722
30.3,0.05,-1.8,2.077,7.51898e-05,-171.157,2.36954e-07,-122.392
33.3,0.05,-2.0,2.078,7.24601e-05,-170.998,2.04933e-07,-121.347
36.3,0.05,-2.2,2.076,7.00418e-05,-170.835,1.67757e-07,-116.077
39.3,0.05,-2.4,2.077,6.78985e-05,-170.713,1.62231e-07,-116.376
42.4,0.05,-2.6,2.077,6.597e-05,-170.597,1.31448e-07,-126.927
45.4,0.05,-2.8,2.078,6.42404e-05,-170.496,1.39087e-07,-120.578
48.4,0.05,-3.0,2.078,6.26554e-05,-170.399,9.89162e-08,-121.751
51.4,0.05,-3.2,2.077,6.12441e-05,-170.312,9.70407e-08,-109.36
54.5,0.05,-3.4,2.078,5.98873e-05,-170.219,9.24828e-08,-123.216
57.5,0.05,-3.6,2.077,5.86394e-05,-170.115,9.43709e-08,-116.304
60.5,0.05,-3.8,2.078,5.75628e-05,-170.075,7.42737e-08,-121.097
63.5,0.05,-4.0,2.076,5.6542e-05,-170.011,8.16092e-08,-111.011
66.6,0.05,-4.2,2.077,5.55529e-05,-169.951,7.29245e-08,-114.0
69.6,0.05,-4.4,2.078,5.46474e-05,-169.866,5.24743e-08,-113.969
72.6,0.05,-4.6,2.077,5.3813e-05,-169.819,4.81018e-08,-89.936
75.6,0.05,-4.8,2.077,5.30337e-05,-169.765,4.87622e-08,-109.131
78.7,0.05,-5.0,2.078,5.23011e-05,-169.721,5.33651e-08,-127.481
81.7,0.05,-5.2,2.078,5.15918e-05,-169.577,3.90252e-08,-174.476
84.7,0.05,-5.4,2.077,5.09209e-05,-169.602,3.9364e-08,-141.898
87.7,0.05,-5.6,2.078,5.02904e-05,-169.477,1.54696e-08,-104.824
90.8,0.05,-5.8,2.078,4.96807e-05,-169.495,5.51384e-08,-125.321
93.8,0.05,-6.0,2.078,4.91166e-05,-169.462,7.01728e-08,-116.12
96.8,0.05,-6.2,2.077,4.85559e-05,-169.397,2.31216e-08,106.031
99.9,0.05,-6.4,2.076,4.8067e-05,-169.291,3.6908e-08,-158.858
102.9,0.05,-6.6,2.077,4.76304e-05,-169.306,1.94469e-08,-42.886
105.9,0.05,-6.8,2.077,4.71626e-05,-169.241,2.96098e-08,-109.375
108.9,0.05,-7.0,2.078,4.67091e-05,-169.208,4.143e-08,178.758
112.0,0.05,-7.2,2.077,4.62203e-05,-169.106,4.79591e-08,-116.018
115.0,0.05,-7.4,2.077,4.58058e-05,-169.08,4.84653e-08,-130.844
118.0,0.05,-7.6,2.078,4.54826e-05,-168.987,4.70456e-08,-90.058
121.0,0.05,-7.8,2.077,4.50376e-05,-168.94,2.26722e-08,-77.406
124.1,0.05,-8.0,2.078,4.47539e-05,-168.902,5.3376e-09,-174.061
127.1,0.05,-8.2,2.078,4.44161e-05,-168.847,4.63526e-08,-112.118
130.1,0.05,-8.4,2.078,4.40794e-05,-168.764,3.09756e-08,178.209
133.1,0.05,-8.6,2.078,4.38209e-05,-168.8,1.80481e-08,103.321
136.2,0.05,-8.8,2.077,4.3412e-05,-168.704,3.09866e-08,105.39
139.2,0.05,-9.0,2.078,4.31937e-05,-168.593,4.52599e-08,-167.593
142.2,0.05,-9.2,2.077,4.27951e-05,-168.507,7.62386e-08,-74.021
145.3,0.05,-9.4,2.078,4.26169e-05,-168.405,9.1246e-08,-47.292
148.3,0.05,-9.6,2.076,4.23631e-05,-168.498,1.01209e-07,-103.584
151.3,0.05,-9.8,2.076,4.21315e-05,-168.398,3.78296e-08,-156.977
154.3,0.05,-10.0,2.079,4.18436e-05,-168.435,1.30105e-08,26.541
