#Procedure: <__main__.CVProcedure>
#Parameters:
#	Tc: 0.1 s
#	at: 2025-05-14 16:11:27
#	Delay: 3 s
#	End: -10 V
#	Frequency: 1133 Hz
#	sample: D_1 C-V
#	scan: Vb
#	Start: 0 V
#	Step: 0.2 V
#	Zero bias when done: True
#Data:
time(s),vt(V),Vb_set(V),Vb_meas(V),R_1ω(V),theta_1ω(deg),R_2ω(V),theta_2ω(deg)
3.1,0.05,0.0,2.078,0.000111595,-175.387,2.87145e-06,-150.605
6.1,0.05,-0.2,2.076,8.89566e-05,-170.642,1.26703e-06,-123.53
9.1,0.05,-0.4,2.077,7.70337e-05,-169.668,7.89423e-07,-120.857
12.1,0.05,-0.6,2.078,6.94188e-05,-169.029,5.4873e-07,-118.34
15.2,0.05,-0.8,2.077,6.39883e-05,-168.686,4.2573e-07,-118.939
18.2,0.05,-1.0,2.077,5.98138e-05,-168.385,3.46376e-07,-119.311
21.2,0.05,-1.2,2.078,5.64602e-05,-168.146,2.8487e-07,-117.363
24.2,0.05,-1.4,2.077,5.36642e-05,-167.92,2.59552e-07,-118.045
27.3,0.05,-1.6,2.078,5.12779e-05,-167.845,1.88701e-07,-108.211
30.3,0.05,-1.8,2.079,4.92544e-05,-167.694,1.74606e-07,-121.848
33.3,0.05,-2.0,2.078,4.75015e-05,-167.525,1.83057e-07,-114.723
36.4,0.05,-2.2,2.076,4.59358e-05,-167.441,1.5309e-07,-110.289
39.4,0.05,-2.4,2.078,4.45354e-05,-167.286,1.28225e-07,-112.18
42.4,0.05,-2.6,2.078,4.32874e-05,-167.162,1.04284e-07,-108.816
45.4,0.05,-2.8,2.077,3.73073e-05,-167.134,1.24842e-07,-98.156
48.5,0.05,-3.0,2.076,4.11448e-05,-166.94,9.26264e-08,-135.729
51.5,0.05,-3.2,2.078,4.02088e-05,-166.847,1.21467e-07,-101.653
54.5,0.05,-3.4,2.078,3.93689e-05,-166.688,9.65742e-08,-111.539
57.5,0.05,-3.6,2.078,3.85347e-05,-166.616,8.39002e-08,-107.967
60.6,0.05,-3.8,2.077,3.77872e-05,-166.522,3.41228e-08,-97.185
63.6,0.05,-4.0,2.076,3.72027e-05,-166.51,6.30014e-08,-96.27
66.6,0.05,-4.2,2.078,3.65383e-05,-166.274,4.41756e-08,-82.235
69.6,0.05,-4.4,2.078,3.59525e-05,-166.215,3.59554e-08,-118.493
72.7,0.05,-4.6,2.077,3.54107e-05,-166.073,5.99872e-08,-170.615
75.7,0.05,-4.8,2.078,3.48995e-05,-166.035,4.3588e-08,-143.197
78.7,0.05,-5.0,2.077,3.44685e-05,-165.905,8.9562e-08,-88.494
81.8,0.05,-5.2,2.078,3.3968e-05,-165.641,3.07086e-08,-47.733
84.8,0.05,-5.4,2.078,3.35712e-05,-165.642,6.20461e-08,-94.58
87.8,0.05,-5.6,2.078,3.31626e-05,-165.629,3.20177e-08,-81.04
90.8,0.05,-5.8,2.078,3.27805e-05,-165.577,6.51747e-08,2.626
93.9,0.05,-6.0,2.078,3.24059e-05,-165.428,7.21026e-08,-121.806
96.9,0.05,-6.2,2.078,3.20865e-05,-165.406,6.16104e-08,-55.107
99.9,0.05,-6.4,2.078,3.18128e-05,-165.243,3.3277e-08,-160.888
102.9,0.05,-6.6,2.078,3.15433e-05,-165.152,1.26554e-07,-116.046
106.0,0.05,-6.8,2.077,3.12133e-05,-165.074,7.8368e-08,-46.752
109.0,0.05,-7.0,2.077,3.09274e-05,-164.982,4.47234e-08,-53.081
112.0,0.05,-7.2,2.077,3.0678e-05,-164.894,8.0096e-08,-133.143
115.0,0.05,-7.4,2.078,3.04056e-05,-164.915,7.40129e-08,-70.925
118.1,0.05,-7.6,2.076,3.01857e-05,-164.759,3.80998e-09,0.482
121.1,0.05,-7.8,2.077,3.00198e-05,-164.753,5.63562e-08,-4.914
124.1,0.05,-8.0,2.077,2.98552e-05,-164.614,1.96073e-08,15.745
127.2,0.05,-8.2,2.076,2.95362e-05,-164.59,7.66621e-08,38.533
130.2,0.05,-8.4,2.078,2.93505e-05,-164.448,6.33715e-08,-151.845
133.2,0.05,-8.6,2.078,2.91651e-05,-164.414,1.06996e-07,-102.809
136.2,0.05,-8.8,2.078,2.90347e-05,-164.241,4.301e-09,-2.027
139.3,0.05,-9.0,2.078,2.88144e-05,-164.218,6.93597e-08,-17.438
142.3,0.05,-9.2,2.078,2.86899e-05,-164.218,4.55092e-08,24.487
145.3,0.05,-9.4,2.078,2.85656e-05,-164.099,5.03216e-08,-76.925
148.4,0.05,-9.6,2.078,2.83451e-05,-164.016,1.84808e-08,74.575
151.4,0.05,-9.8,2.077,2.82102e-05,-163.987,9.83062e-08,35.594
154.4,0.05,-10.0,2.078,2.81104e-05,-163.81,1.37432e-07,-27.88
