#Procedure: <__main__.CVProcedure>
#Parameters:
#	Tc: 0.1 s
#	at: 2025-05-14 17:08:07
#	Delay: 3 s
#	End: -10 V
#	Frequency: 933 Hz
#	sample: D_2 Phi-V 933
#	scan: Vb
#	Start: 0 V
#	Step: 0.2 V
#	Zero bias when done: True
#Data:
time(s),vt(V),Vb_set(V),Vb_meas(V),R_1ω(V),theta_1ω(deg),R_2ω(V),theta_2ω(deg)
3.0,0.05,0.0,2.078,0.000179971,-172.473,4.75981e-06,-153.806
6.1,0.05,-0.2,2.077,0.000142001,-168.215,2.17851e-06,-135.313
9.1,0.05,-0.4,2.078,0.000121377,-166.763,1.3624e-06,-133.279
12.1,0.05,-0.6,2.076,0.000108143,-165.85,9.60221e-07,-131.905
15.1,0.05,-0.8,2.078,9.87575e-05,-165.176,7.14304e-07,-129.638
18.2,0.05,-1.0,2.078,9.16197e-05,-164.665,5.5895e-07,-126.405
21.2,0.05,-1.2,2.078,8.60366e-05,-164.272,4.37091e-07,-127.668
24.2,0.05,-1.4,2.078,8.14809e-05,-163.965,3.61358e-07,-124.625
27.2,0.05,-1.6,2.078,7.76964e-05,-163.702,3.12211e-07,-122.25
30.3,0.05,-1.8,2.078,7.44003e-05,-163.501,2.49735e-07,-125.748
33.3,0.05,-2.0,2.077,7.16378e-05,-163.341,2.15007e-07,-128.936
36.3,0.05,-2.2,2.077,6.91992e-05,-163.203,1.76157e-07,-124.927
39.4,0.05,-2.4,2.077,6.70169e-05,-163.063,1.29564e-07,-129.621
42.4,0.05,-2.6,2.077,6.51049e-05,-162.964,1.4891e-07,-126.147
45.4,0.05,-2.8,2.078,6.33223e-05,-162.87,1.32672e-07,-128.188
48.4,0.05,-3.0,2.078,6.17546e-05,-162.809,1.12928e-07,-127.631
51.4,0.05,-3.2,2.076,6.03211e-05,-162.742,8.34266e-08,-129.418
54.5,0.05,-3.4,2.077,5.90407e-05,-162.606,9.21219e-08,-120.713
57.5,0.05,-3.6,2.078,5.77961e-05,-162.593,6.98538e-08,-129.02
60.5,0.05,-3.8,2.078,5.66794e-05,-162.462,9.25159e-08,-117.601
63.6,0.05,-4.0,2.078,5.56769e-05,-162.424,6.01393e-08,-134.38
66.6,0.05,-4.2,2.078,5.4657e-05,-162.352,4.16755e-08,-106.067
69.6,0.05,-4.4,2.078,5.37299e-05,-162.292,5.4355e-08,-129.162
72.6,0.05,-4.6,2.078,5.29766e-05,-162.271,4.45566e-08,179.624
75.7,0.05,-4.8,2.078,5.21178e-05,-162.167,2.3111e-08,-107.047
78.7,0.05,-5.0,2.077,5.13945e-05,-162.066,1.99349e-08,-138.189
81.7,0.05,-5.2,2.078,5.06415e-05,-162.051,6.98618e-08,-101.236
84.7,0.05,-5.4,2.078,4.99781e-05,-161.97,2.82095e-08,-99.395
87.8,0.05,-5.6,2.078,4.94018e-05,-161.997,1.51513e-08,-90.26
90.8,0.05,-5.8,2.078,4.87755e-05,-161.934,5.23139e-08,-130.909
93.8,0.05,-6.0,2.078,4.82664e-05,-161.89,9.13547e-08,-137.926
96.8,0.05,-6.2,2.078,4.76049e-05,-161.867,1.88023e-08,-69.412
99.9,0.05,-6.4,2.077,4.71839e-05,-161.703,1.66174e-08,138.909
102.9,0.05,-6.6,2.077,4.66903e-05,-161.671,3.2929e-08,-45.535
105.9,0.05,-6.8,2.078,4.62051e-05,-161.673,1.33371e-08,63.983
109.0,0.05,-7.0,2.078,4.57217e-05,-161.589,6.30605e-08,-89.886
112.0,0.05,-7.2,2.078,4.53313e-05,-161.486,5.235e-08,-19.908
115.0,0.05,-7.4,2.078,4.49097e-05,-161.507,6.47739e-09,-177.595
118.0,0.05,-7.6,2.077,4.45212e-05,-161.53,2.66198e-08,-99.278
121.1,0.05,-7.8,2.078,4.41395e-05,-161.352,3.1119e-08,-78.803
124.1,0.05,-8.0,2.078,4.38703e-05,-161.355,8.41167e-09,-166.4
127.1,0.05,-8.2,2.076,4.35227e-05,-161.283,4.25198e-08,-84.961
130.2,0.05,-8.4,2.078,4.32183e-05,-161.174,1.56795e-08,-134.27
133.2,0.05,-8.6,2.078,4.28618e-05,-161.246,6.60795e-08,-73.833
136.2,0.05,-8.8,2.078,4.24969e-05,-161.149,5.45076e-08,-126.659
139.2,0.05,-9.0,2.077,4.2229e-05,-161.024,2.63707e-08,146.852
142.2,0.05,-9.2,2.078,4.18774e-05,-160.9,4.57214e-08,-72.286
145.3,0.05,-9.4,2.076,4.16779e-05,-160.999,3.26986e-08,117.971
148.3,0.05,-9.6,2.077,4.13629e-05,-160.872,1.44836e-07,129.816
151.4,0.05,-9.8,2.077,4.11987e-05,-160.77,8.86439e-08,-145.138
154.4,0.05,-10.0,2.078,4.09493e-05,-160.696,7.96581e-08,-138.559
