#Procedure: <__main__.CVProcedure>
#Parameters:
#	Tc: 0.1 s
#	at: 2025-05-14 16:24:01
#	Delay: 3 s
#	End: -10 V
#	Frequency: 1133 Hz
#	sample: D_5 C-V
#	scan: Vb
#	Start: 0 V
#	Step: 0.2 V
#	Zero bias when done: True
#Data:
time(s),vt(V),Vb_set(V),Vb_meas(V),R_1ω(V),theta_1ω(deg),R_2ω(V),theta_2ω(deg)
3.0,0.05,0.0,2.076,0.000116214,-165.381,1.73844e-06,-129.838
6.1,0.05,-0.2,2.078,0.000102075,-163.997,9.91501e-07,-116.162
9.1,0.05,-0.4,2.077,9.28264e-05,-163.789,7.14531e-07,-114.209
12.1,0.05,-0.6,2.077,8.60434e-05,-163.682,5.39757e-07,-114.528
15.1,0.05,-0.8,2.077,8.07592e-05,-163.603,4.33518e-07,-112.583
18.2,0.05,-1.0,2.078,7.64203e-05,-163.557,3.45863e-07,-112.817
21.2,0.05,-1.2,2.078,7.28004e-05,-163.511,2.72582e-07,-106.492
24.2,0.05,-1.4,2.077,6.9745e-05,-163.46,2.29513e-07,-116.501
27.3,0.05,-1.6,2.077,6.70753e-05,-163.422,2.08265e-07,-108.583
30.3,0.05,-1.8,2.078,6.46946e-05,-163.384,1.70888e-07,-108.56
33.3,0.05,-2.0,2.078,6.26157e-05,-163.359,1.74035e-07,-116.098
36.3,0.05,-2.2,2.078,6.07268e-05,-163.364,1.3942e-07,-107.236
39.4,0.05,-2.4,2.078,5.90861e-05,-163.309,1.02408e-07,-123.064
42.4,0.05,-2.6,2.078,5.74881e-05,-163.312,1.06518e-07,-113.862
45.4,0.05,-2.8,2.077,5.61332e-05,-163.275,9.90718e-08,-110.813
48.4,0.05,-3.0,2.076,5.48363e-05,-163.232,9.6495e-08,-122.815
51.5,0.05,-3.2,2.077,5.36274e-05,-163.262,7.91879e-08,-119.3
54.5,0.05,-3.4,2.078,5.24964e-05,-163.191,8.59663e-08,-123.341
57.5,0.05,-3.6,2.077,5.14902e-05,-163.196,1.00313e-07,-97.639
60.5,0.05,-3.8,2.077,5.04929e-05,-163.205,7.22447e-08,-113.255
63.6,0.05,-4.0,2.077,4.96074e-05,-163.198,7.60813e-08,-122.439
66.6,0.05,-4.2,2.078,4.87821e-05,-163.127,3.9855e-08,-156.722
69.6,0.05,-4.4,2.077,4.79854e-05,-163.136,5.29772e-08,-74.579
72.7,0.05,-4.6,2.078,4.72683e-05,-163.072,4.25159e-08,-105.171
75.7,0.05,-4.8,2.078,4.65218e-05,-163.106,2.24111e-08,-151.937
78.7,0.05,-5.0,2.078,4.59061e-05,-163.098,5.96033e-08,-112.38
81.7,0.05,-5.2,2.077,4.52574e-05,-163.069,9.46225e-08,-79.743
84.8,0.05,-5.4,2.078,4.47266e-05,-163.086,2.07999e-08,-161.644
87.8,0.05,-5.6,2.077,4.40886e-05,-163.022,1.09018e-07,-112.458
90.8,0.05,-5.8,2.077,4.35368e-05,-163.058,8.08361e-08,-107.592
93.8,0.05,-6.0,2.078,4.304e-05,-162.915,4.24442e-08,-163.017
96.9,0.05,-6.2,2.078,4.25736e-05,-163.011,6.3255e-08,-103.164
99.9,0.05,-6.4,2.078,4.20605e-05,-162.976,7.39157e-08,175.253
102.9,0.05,-6.6,2.076,4.16629e-05,-162.99,3.21667e-08,-25.692
105.9,0.05,-6.8,2.078,4.12139e-05,-163.017,9.4859e-08,171.053
109.0,0.05,-7.0,2.077,4.07774e-05,-162.909,4.16921e-08,-84.011
112.0,0.05,-7.2,2.078,4.03806e-05,-162.902,5.93681e-08,-100.095
115.0,0.05,-7.4,2.078,4.00539e-05,-162.895,5.67836e-08,-108.275
118.1,0.05,-7.6,2.077,3.96301e-05,-162.893,8.94705e-08,-51.214
121.1,0.05,-7.8,2.077,3.93613e-05,-162.913,1.31207e-07,-171.837
124.1,0.05,-8.0,2.077,3.89694e-05,-162.714,1.1641e-07,-159.231
127.1,0.05,-8.2,2.077,3.86074e-05,-162.768,2.31205e-08,-159.381
130.2,0.05,-8.4,2.078,3.838e-05,-162.717,9.76553e-08,-61.442
133.2,0.05,-8.6,2.077,3.80488e-05,-162.752,7.00384e-08,167.916
136.2,0.05,-8.8,2.077,3.78003e-05,-162.697,4.52571e-08,-132.613
139.2,0.05,-9.0,2.078,3.74995e-05,-162.82,1.03823e-07,112.822
142.3,0.05,-9.2,2.078,3.71634e-05,-162.661,6.54326e-08,-41.149
145.3,0.05,-9.4,2.078,3.69939e-05,-162.471,5.79296e-08,-15.103
148.3,0.05,-9.6,2.077,3.67203e-05,-162.567,9.79787e-08,12.538
151.3,0.05,-9.8,2.078,3.66057e-05,-162.562,4.39326e-08,-123.938
154.4,0.05,-10.0,2.077,3.62138e-05,-162.442,1.20257e-07,92.703
