#Procedure: <__main__.CVProcedure>
#Parameters:
#	Tc: 0.01 s
#	at: 2025-05-14 15:43:25
#	Delay: 3 s
#	End: -3 V
#	Frequency: 1133 Hz
#	sample: noise_10ms
#	scan: time
#	Start: 0 V
#	Step: 0.2 V
#	Zero bias when done: True
#Data:
time(s),vt(V),Vb_set(V),Vb_meas(V),R_1ω(V),theta_1ω(deg),R_2ω(V),theta_2ω(deg)
0.1,0.05,0.0,2.078,0.0475622,-167.356,0.000359136,133.438
3.1,0.05,0.0,2.079,0.047029,-167.187,0.000331869,120.35
6.1,0.05,0.0,2.078,0.0472031,-166.669,0.000149339,137.629
9.1,0.05,0.0,2.078,0.0474399,-166.828,0.000447127,128.569
12.2,0.05,0.0,2.078,0.0474001,-166.993,0.000132468,5.894
15.2,0.05,0.0,2.078,0.0470128,-166.892,0.00015212,8.608
18.2,0.05,0.0,2.078,0.0472437,-167.105,0.000389912,-146.469
21.2,0.05,0.0,2.078,0.0469124,-167.426,0.000194565,61.508
24.3,0.05,0.0,2.077,0.0473639,-167.437,0.000126839,146.266
27.3,0.05,0.0,2.078,0.0473598,-166.781,0.000583472,-125.83
30.3,0.05,0.0,2.077,0.0470069,-167.149,0.000337504,-127.769
33.3,0.05,0.0,2.077,0.0471896,-167.426,0.000143325,-145.339
36.4,0.05,0.0,2.078,0.0470517,-166.943,0.000320698,-18.876
39.4,0.05,0.0,2.078,0.046846,-167.267,0.000113926,102.854
42.4,0.05,0.0,2.078,0.0471631,-167.145,5.1553e-05,-91.692
45.4,0.05,0.0,2.078,0.0468198,-167.292,0.000213382,170.937
48.4,0.05,0.0,2.078,0.047445,-167.09,0.000459606,-48.295
51.5,0.05,0.0,2.076,0.0472656,-166.819,0.000129276,158.339
54.5,0.05,0.0,2.077,0.0468909,-167.078,0.000240377,-143.027
57.5,0.05,0.0,2.078,0.0469481,-166.699,0.000349693,-119.045
60.5,0.05,0.0,2.078,0.0471316,-167.178,0.000267683,-128.782
63.6,0.05,0.0,2.077,0.0470482,-167.206,0.000392448,174.24
66.6,0.05,0.0,2.078,0.0471396,-167.027,0.000229585,-78.784
69.6,0.05,0.0,2.078,0.0472574,-167.495,0.000619277,159.747
72.7,0.05,0.0,2.078,0.0467857,-167.764,0.000409004,-163.601
