#Procedure: <__main__.CVProcedure>
#Parameters:
#	Tc: 0.1 s
#	at: 2025-05-14 17:05:03
#	Delay: 3 s
#	End: -10 V
#	Frequency: 1633 Hz
#	sample: D_2 Phi-V 1633
#	scan: Vb
#	Start: 0 V
#	Step: 0.2 V
#	Zero bias when done: True
#Data:
time(s),vt(V),Vb_set(V),Vb_meas(V),R_1ω(V),theta_1ω(deg),R_2ω(V),theta_2ω(deg)
3.0,0.05,0.0,2.077,0.000173641,179.734,3.94907e-06,-147.541
6.1,0.05,-0.2,2.076,0.000139145,-177.077,1.93079e-06,-135.664
9.1,0.05,-0.4,2.078,0.000120064,-175.766,1.21508e-06,-133.804
12.1,0.05,-0.6,2.076,0.000107618,-174.884,8.53581e-07,-132.249
15.1,0.05,-0.8,2.077,9.8693e-05,-174.237,6.47097e-07,-131.342
18.2,0.05,-1.0,2.078,9.18936e-05,-173.748,5.08699e-07,-128.5
21.2,0.05,-1.2,2.077,8.6496e-05,-173.375,4.13302e-07,-129.176
24.2,0.05,-1.4,2.078,8.20749e-05,-173.058,3.36698e-07,-126.029
27.2,0.05,-1.6,2.076,7.84066e-05,-172.83,2.76103e-07,-125.251
30.3,0.05,-1.8,2.076,7.52163e-05,-172.616,2.47518e-07,-124.097
33.3,0.05,-2.0,2.077,7.24627e-05,-172.424,1.90936e-07,-122.815
36.3,0.05,-2.2,2.078,7.0051e-05,-172.286,1.71547e-07,-119.835
39.3,0.05,-2.4,2.077,6.79034e-05,-172.17,1.46965e-07,-123.758
42.4,0.05,-2.6,2.078,6.59967e-05,-172.015,1.43531e-07,-119.002
45.4,0.05,-2.8,2.076,6.4269e-05,-171.947,1.15933e-07,-121.604
48.4,0.05,-3.0,2.077,6.26957e-05,-171.837,1.00692e-07,-111.125
51.4,0.05,-3.2,2.078,6.12826e-05,-171.757,9.23815e-08,-113.704
54.5,0.05,-3.4,2.078,5.99649e-05,-171.674,9.4076e-08,-122.657
57.5,0.05,-3.6,2.076,5.87263e-05,-171.575,9.16171e-08,-123.229
60.5,0.05,-3.8,2.077,5.76312e-05,-171.501,7.65522e-08,-121.256
63.5,0.05,-4.0,2.078,5.65848e-05,-171.44,7.87586e-08,-112.888
66.6,0.05,-4.2,2.077,5.56555e-05,-171.344,6.31499e-08,-106.844
69.6,0.05,-4.4,2.077,5.47269e-05,-171.311,7.97092e-08,-111.871
72.6,0.05,-4.6,2.078,5.3863e-05,-171.253,5.51184e-08,-117.351
75.7,0.05,-4.8,2.078,5.30824e-05,-171.233,4.10861e-08,-107.95
78.7,0.05,-5.0,2.078,5.23583e-05,-171.119,3.93637e-08,-111.703
81.7,0.05,-5.2,2.077,5.15827e-05,-171.094,4.69354e-08,-130.031
84.7,0.05,-5.4,2.078,5.09442e-05,-171.035,3.78196e-08,-104.402
87.8,0.05,-5.6,2.077,5.03424e-05,-170.933,4.56026e-08,-120.942
90.8,0.05,-5.8,2.077,4.97269e-05,-170.897,3.03022e-08,-101.036
93.8,0.05,-6.0,2.077,4.92e-05,-170.831,4.20548e-08,-87.616
96.9,0.05,-6.2,2.077,4.86388e-05,-170.794,2.74298e-08,-125.471
99.9,0.05,-6.4,2.077,4.81256e-05,-170.801,4.11288e-08,-89.245
102.9,0.05,-6.6,2.077,4.76358e-05,-170.672,3.36009e-08,-105.88
105.9,0.05,-6.8,2.078,4.71772e-05,-170.669,2.76753e-08,-81.825
109.0,0.05,-7.0,2.077,4.6758e-05,-170.61,5.49491e-08,-100.178
112.0,0.05,-7.2,2.078,4.63743e-05,-170.498,3.26153e-08,-133.069
115.0,0.05,-7.4,2.076,4.59875e-05,-170.49,4.84357e-08,-103.935
118.0,0.05,-7.6,2.078,4.55811e-05,-170.433,3.51262e-08,-104.756
121.1,0.05,-7.8,2.078,4.51365e-05,-170.331,2.52764e-08,-98.43
124.1,0.05,-8.0,2.078,4.48092e-05,-170.369,1.26215e-08,-40.735
127.1,0.05,-8.2,2.077,4.44475e-05,-170.338,1.10538e-08,-147.598
130.1,0.05,-8.4,2.077,4.4137e-05,-170.313,3.42296e-08,-90.963
133.2,0.05,-8.6,2.077,4.39177e-05,-170.213,3.66089e-08,-95.053
136.2,0.05,-8.8,2.078,4.35246e-05,-170.174,1.08841e-08,-176.622
139.2,0.05,-9.0,2.076,4.32265e-05,-170.027,2.79499e-08,-85.27
142.2,0.05,-9.2,2.078,4.29923e-05,-170.004,1.60588e-08,-127.143
145.3,0.05,-9.4,2.078,4.27751e-05,-169.933,1.45031e-08,178.513
148.3,0.05,-9.6,2.077,4.23866e-05,-169.97,4.32557e-08,-37.324
151.3,0.05,-9.8,2.076,4.22247e-05,-169.829,1.72259e-08,170.423
154.3,0.05,-10.0,2.077,4.19674e-05,-169.962,1.48198e-08,-92.482
