#Procedure: <__main__.CVProcedure>
#Parameters:
#	Tc: 0.03 s
#	at: 2025-05-14 15:44:49
#	Delay: 3 s
#	End: -3 V
#	Frequency: 1133 Hz
#	sample: noise_30ms
#	scan: time
#	Start: 0 V
#	Step: 0.2 V
#	Zero bias when done: True
#Data:
time(s),vt(V),Vb_set(V),Vb_meas(V),R_1ω(V),theta_1ω(deg),R_2ω(V),theta_2ω(deg)
0.0,0.05,0.0,2.077,0.0471741,-167.292,4.14163e-05,-27.904
3.1,0.05,0.0,2.078,0.0471082,-167.545,2.44182e-05,162.888
6.1,0.05,0.0,2.078,0.0469788,-167.439,0.000224492,-126.971
9.1,0.05,0.0,2.078,0.0471156,-167.092,0.000187302,-87.977
12.2,0.05,0.0,2.077,0.0471936,-167.366,4.30588e-05,114.114
15.2,0.05,0.0,2.078,0.0471218,-167.144,8.81249e-05,134.813
18.2,0.05,0.0,2.078,0.0472393,-167.121,0.000236846,147.81
21.2,0.05,0.0,2.077,0.0472967,-167.53,0.000215689,165.785
24.3,0.05,0.0,2.078,0.0471335,-167.307,0.000125537,-112.898
27.3,0.05,0.0,2.078,0.0473352,-167.098,8.33669e-05,-158.918
30.3,0.05,0.0,2.078,0.0473199,-167.525,0.000167899,-116.552
33.4,0.05,0.0,2.078,0.0471183,-167.346,0.000124659,-74.165
36.4,0.05,0.0,2.077,0.0471967,-167.052,0.000281482,-75.949
39.4,0.05,0.0,2.078,0.047251,-167.424,7.76584e-05,-133.366
42.4,0.05,0.0,2.078,0.0472408,-167.013,0.0003038,-134.232
45.5,0.05,0.0,2.077,0.0470728,-167.089,0.00014304,-119.798
48.5,0.05,0.0,2.078,0.0473959,-167.426,0.000271897,-129.579
51.5,0.05,0.0,2.077,0.0470974,-167.196,0.000273588,-177.109
54.5,0.05,0.0,2.078,0.0471916,-167.133,0.0001139,-65.802
57.5,0.05,0.0,2.078,0.0471091,-166.999,0.000134262,-85.482
60.6,0.05,0.0,2.077,0.0469829,-167.299,0.000194072,-140.445
63.6,0.05,0.0,2.078,0.0471051,-167.21,9.45863e-05,93.727
66.6,0.05,0.0,2.078,0.0471045,-167.207,0.000212607,132.751
69.6,0.05,0.0,2.076,0.046994,-167.017,8.71165e-05,82.956
72.7,0.05,0.0,2.078,0.0471976,-167.117,0.00013393,-175.803
