Vb_set(V),R_1w(V),theta_1w(deg),C_j(pF),1/C2(pF-2),w(cm),R_2w(V)
0.0000,1.162140e-04,-165.3810,93.8752,1.134746e-04,5.598077e-05,1.738440e-06
-0.2000,1.020750e-04,-163.9970,82.1278,1.482585e-04,6.398811e-05,9.915010e-07
-0.4000,9.282640e-05,-163.7890,74.4436,1.804451e-04,7.059306e-05,7.145310e-07
-0.6000,8.604340e-05,-163.6820,68.8080,2.112138e-04,7.637491e-05,5.397570e-07
-0.8000,8.075920e-05,-163.6030,64.4176,2.409854e-04,8.158022e-05,4.335180e-07
-1.0000,7.642030e-05,-163.5570,60.8127,2.704034e-04,8.641628e-05,3.458630e-07
-1.2000,7.280040e-05,-163.5110,57.8051,2.992734e-04,9.091250e-05,2.725820e-07
-1.4000,6.974500e-05,-163.4600,55.2665,3.273981e-04,9.508841e-05,2.295130e-07
-1.6000,6.707530e-05,-163.4220,53.0484,3.553495e-04,9.906435e-05,2.082650e-07
-1.8000,6.469460e-05,-163.3840,51.0704,3.834086e-04,1.029012e-04,1.708880e-07
-2.0000,6.261570e-05,-163.3590,49.3431,4.107207e-04,1.065032e-04,1.740350e-07
-2.2000,6.072680e-05,-163.3640,47.7737,4.381486e-04,1.100019e-04,1.394200e-07
-2.4000,5.908610e-05,-163.3090,46.4106,4.642652e-04,1.132329e-04,1.024080e-07
-2.6000,5.748810e-05,-163.3120,45.0829,4.920132e-04,1.165676e-04,1.065180e-07
-2.8000,5.613320e-05,-163.2750,43.9572,5.175362e-04,1.195528e-04,9.907180e-08
-3.0000,5.483630e-05,-163.2320,42.8796,5.438734e-04,1.225571e-04,9.649500e-08
-3.2000,5.362740e-05,-163.2620,41.8752,5.702768e-04,1.254967e-04,7.918790e-08
-3.4000,5.249640e-05,-163.1910,40.9355,5.967591e-04,1.283775e-04,8.596630e-08
-3.6000,5.149020e-05,-163.1960,40.0995,6.219011e-04,1.310540e-04,1.003130e-07
-3.8000,5.049290e-05,-163.2050,39.2709,6.484218e-04,1.338192e-04,7.224470e-08
-4.0000,4.960740e-05,-163.1980,38.5352,6.734175e-04,1.363740e-04,7.608130e-08
-4.2000,4.878210e-05,-163.1270,37.8495,6.980384e-04,1.388447e-04,3.985500e-08
-4.4000,4.798540e-05,-163.1360,37.1876,7.231096e-04,1.413161e-04,5.297720e-08
-4.6000,4.726830e-05,-163.0720,36.5918,7.468492e-04,1.436170e-04,4.251590e-08
-4.8000,4.652180e-05,-163.1060,35.9716,7.728259e-04,1.460933e-04,2.241110e-08
-5.0000,4.590610e-05,-163.0980,35.4600,7.952846e-04,1.482009e-04,5.960330e-08
-5.2000,4.525740e-05,-163.0690,34.9210,8.200229e-04,1.504882e-04,9.462250e-08
-5.4000,4.472660e-05,-163.0860,34.4800,8.411339e-04,1.524130e-04,2.079990e-08
-5.6000,4.408860e-05,-163.0220,33.9499,8.676052e-04,1.547927e-04,1.090180e-07
-5.8000,4.353680e-05,-163.0580,33.4915,8.915209e-04,1.569117e-04,8.083610e-08
-6.0000,4.304000e-05,-162.9150,33.0787,9.139090e-04,1.588697e-04,4.244420e-08
-6.2000,4.257360e-05,-163.0110,32.6912,9.357036e-04,1.607528e-04,6.325500e-08
-6.4000,4.206050e-05,-162.9760,32.2649,9.605934e-04,1.628768e-04,7.391570e-08
-6.6000,4.166290e-05,-162.9900,31.9345,9.805698e-04,1.645617e-04,3.216670e-08
-6.8000,4.121390e-05,-163.0170,31.5615,1.003887e-03,1.665068e-04,9.485900e-08
-7.0000,4.077740e-05,-162.9090,31.1988,1.027362e-03,1.684423e-04,4.169210e-08
-7.2000,4.038060e-05,-162.9020,30.8691,1.049423e-03,1.702413e-04,5.936810e-08
-7.4000,4.005390e-05,-162.8950,30.5977,1.068125e-03,1.717515e-04,5.678360e-08
-7.6000,3.963010e-05,-162.8930,30.2456,1.093140e-03,1.737510e-04,8.947050e-08
-7.8000,3.936130e-05,-162.9130,30.0223,1.109464e-03,1.750435e-04,1.312070e-07
-8.0000,3.896940e-05,-162.7140,29.6967,1.133926e-03,1.769628e-04,1.164100e-07
-8.2000,3.860740e-05,-162.7680,29.3959,1.157249e-03,1.787734e-04,2.312050e-08
-8.4000,3.838000e-05,-162.7170,29.2070,1.172269e-03,1.799298e-04,9.765530e-08
-8.6000,3.804880e-05,-162.7520,28.9318,1.194675e-03,1.816412e-04,7.003840e-08
-8.8000,3.780030e-05,-162.6970,28.7253,1.211910e-03,1.829468e-04,4.525710e-08
-9.0000,3.749950e-05,-162.8200,28.4754,1.233277e-03,1.845524e-04,1.038230e-07
-9.2000,3.716340e-05,-162.6610,28.1961,1.257826e-03,1.863802e-04,6.543260e-08
-9.4000,3.699390e-05,-162.4710,28.0553,1.270485e-03,1.873158e-04,5.792960e-08
-9.6000,3.672030e-05,-162.5670,27.8280,1.291327e-03,1.888459e-04,9.797870e-08
-9.8000,3.660570e-05,-162.5620,27.7328,1.300209e-03,1.894943e-04,4.393260e-08
-10.0000,3.621380e-05,-162.4420,27.4072,1.331286e-03,1.917455e-04,1.202570e-07
