Vb_set(V),V_R(V),C_j(pF),1/C2(pF-2),w(cm),N(w)(cm-3)
0.0000,-0.0000,93.8752,1.134746e-04,5.598077e-05,nan
-0.2000,0.2000,82.1278,1.482585e-04,6.398811e-05,2.820892e+15
-0.4000,0.4000,74.4436,1.804451e-04,7.059306e-05,3.000804e+15
-0.6000,0.6000,68.8080,2.112138e-04,7.637491e-05,3.120509e+15
-0.8000,0.8000,64.4176,2.409854e-04,8.158022e-05,3.191718e+15
-1.0000,1.0000,60.8127,2.704034e-04,8.641628e-05,3.241088e+15
-1.2000,1.2000,57.8051,2.992734e-04,9.091250e-05,3.314633e+15
-1.4000,1.4000,55.2665,3.273981e-04,9.508841e-05,3.368931e+15
-1.6000,1.6000,53.0484,3.553495e-04,9.906435e-05,3.372877e+15
-1.8000,1.8000,51.0704,3.834086e-04,1.029012e-04,3.411819e+15
-2.0000,2.0000,49.3431,4.107207e-04,1.065032e-04,3.451161e+15
-2.2000,2.2000,47.7737,4.381486e-04,1.100019e-04,3.528216e+15
-2.4000,2.4000,46.4106,4.642652e-04,1.132329e-04,3.507249e+15
-2.6000,2.6000,45.0829,4.920132e-04,1.165676e-04,3.546330e+15
-2.8000,2.8000,43.9572,5.175362e-04,1.195528e-04,3.642804e+15
-3.0000,3.0000,42.8796,5.438734e-04,1.225571e-04,3.581994e+15
-3.2000,3.2000,41.8752,5.702768e-04,1.254967e-04,3.572167e+15
-3.4000,3.4000,40.9355,5.967591e-04,1.283775e-04,3.659450e+15
-3.6000,3.6000,40.0995,6.219011e-04,1.310540e-04,3.656730e+15
-3.8000,3.8000,39.2709,6.484218e-04,1.338192e-04,3.667115e+15
-4.0000,4.0000,38.5352,6.734175e-04,1.363740e-04,3.807527e+15
-4.2000,4.2000,37.8495,6.980384e-04,1.388447e-04,3.801742e+15
-4.4000,4.4000,37.1876,7.231096e-04,1.413161e-04,3.870384e+15
-4.6000,4.6000,36.5918,7.468492e-04,1.436170e-04,3.799891e+15
-4.8000,4.8000,35.9716,7.728259e-04,1.460933e-04,3.900382e+15
-5.0000,5.0000,35.4600,7.952846e-04,1.482009e-04,4.002723e+15
-5.2000,5.2000,34.9210,8.200229e-04,1.504882e-04,4.120380e+15
-5.4000,5.4000,34.4800,8.411339e-04,1.524130e-04,3.970311e+15
-5.6000,5.6000,33.9499,8.676052e-04,1.547927e-04,3.749311e+15
-5.8000,5.8000,33.4915,8.915209e-04,1.569117e-04,4.079936e+15
-6.0000,6.0000,33.0787,9.139090e-04,1.588697e-04,4.275803e+15
-6.2000,6.2000,32.6912,9.357036e-04,1.607528e-04,4.046674e+15
-6.4000,6.4000,32.2649,9.605934e-04,1.628768e-04,4.210665e+15
-6.6000,6.6000,31.9345,9.805698e-04,1.645617e-04,4.363614e+15
-6.8000,6.8000,31.5615,1.003887e-03,1.665068e-04,4.037351e+15
-7.0000,7.0000,31.1988,1.027362e-03,1.684423e-04,4.148729e+15
-7.2000,7.2000,30.8691,1.049423e-03,1.702413e-04,4.634510e+15
-7.4000,7.4000,30.5977,1.068125e-03,1.717515e-04,4.321352e+15
-7.6000,7.6000,30.2456,1.093140e-03,1.737510e-04,4.569935e+15
-7.8000,7.8000,30.0223,1.109464e-03,1.750435e-04,4.631897e+15
-8.0000,8.0000,29.6967,1.133926e-03,1.769628e-04,3.953469e+15
-8.2000,8.2000,29.3959,1.157249e-03,1.787734e-04,4.927015e+15
-8.4000,8.4000,29.2070,1.172269e-03,1.799298e-04,5.047735e+15
-8.6000,8.6000,28.9318,1.194675e-03,1.816412e-04,4.765685e+15
-8.8000,8.8000,28.7253,1.211910e-03,1.829468e-04,4.893957e+15
-9.0000,9.0000,28.4754,1.233277e-03,1.845524e-04,4.114395e+15
-9.2000,9.2000,28.1961,1.257826e-03,1.863802e-04,5.077310e+15
-9.4000,9.4000,28.0553,1.270485e-03,1.873158e-04,5.639131e+15
-9.6000,9.6000,27.8280,1.291327e-03,1.888459e-04,6.355690e+15
-9.8000,9.8000,27.7328,1.300209e-03,1.894943e-04,4.727759e+15
-10.0000,10.0000,27.4072,1.331286e-03,1.917455e-04,nan
