Vb_set(V),R_1w(V),theta_1w(deg),C_j(pF),1/C2(pF-2),w(cm),R_2w(V)
0.0000,1.159060e-04,-165.6110,93.6193,1.140958e-04,5.613378e-05,1.789180e-06
-0.2000,1.015510e-04,-164.1130,81.6924,1.498429e-04,6.432913e-05,9.862820e-07
-0.4000,9.232930e-05,-163.9010,74.0306,1.824641e-04,7.098690e-05,6.989000e-07
-0.6000,8.559850e-05,-163.7970,68.4383,2.135016e-04,7.678742e-05,5.405590e-07
-0.8000,8.031520e-05,-163.7230,64.0487,2.437693e-04,8.205009e-05,4.171770e-07
-1.0000,7.602760e-05,-163.6370,60.4864,2.733284e-04,8.688242e-05,3.421050e-07
-1.2000,7.244480e-05,-163.6330,57.5096,3.023563e-04,9.137955e-05,2.813080e-07
-1.4000,6.938220e-05,-163.5790,54.9651,3.309989e-04,9.560988e-05,2.408600e-07
-1.6000,6.671180e-05,-163.5290,52.7464,3.594305e-04,9.963157e-05,1.902560e-07
-1.8000,6.438940e-05,-163.4840,50.8168,3.872445e-04,1.034147e-04,1.717320e-07
-2.0000,6.234070e-05,-163.4950,49.1146,4.145510e-04,1.069987e-04,1.537990e-07
-2.2000,6.046410e-05,-163.4290,47.5555,4.421798e-04,1.105068e-04,1.363420e-07
-2.4000,5.878940e-05,-163.4490,46.1641,4.692368e-04,1.138375e-04,1.299210e-07
-2.6000,5.725080e-05,-163.3970,44.8857,4.963450e-04,1.170796e-04,1.077710e-07
-2.8000,5.587800e-05,-163.3670,43.7451,5.225653e-04,1.201323e-04,1.180980e-07
-3.0000,5.461940e-05,-163.3510,42.6994,5.484739e-04,1.230743e-04,1.172270e-07
-3.2000,5.340890e-05,-163.2820,41.6937,5.752538e-04,1.260432e-04,1.159090e-07
-3.4000,5.231880e-05,-163.3320,40.7880,6.010847e-04,1.288420e-04,5.540180e-08
-3.6000,5.126520e-05,-163.2890,39.9126,6.277404e-04,1.316678e-04,9.418310e-08
-3.8000,5.035290e-05,-163.2160,39.1546,6.522801e-04,1.342167e-04,7.995650e-08
-4.0000,4.941470e-05,-163.2590,38.3751,6.790484e-04,1.369430e-04,9.636680e-08
-4.2000,4.863550e-05,-163.2250,37.7277,7.025529e-04,1.392929e-04,4.862480e-08
-4.4000,4.784700e-05,-163.1870,37.0726,7.276024e-04,1.417544e-04,4.907940e-08
-4.6000,4.708720e-05,-163.1560,36.4413,7.530295e-04,1.442100e-04,5.212730e-08
-4.8000,4.641590e-05,-163.1160,35.8836,7.766205e-04,1.464515e-04,5.780260e-08
-5.0000,4.573930e-05,-163.1430,35.3214,8.015375e-04,1.487824e-04,8.010620e-08
-5.2000,4.507310e-05,-163.1110,34.7679,8.272619e-04,1.511510e-04,4.524720e-08
-5.4000,4.455600e-05,-163.0830,34.3383,8.480923e-04,1.530422e-04,4.495530e-08
-5.6000,4.393860e-05,-162.9710,33.8253,8.740103e-04,1.553631e-04,7.766520e-08
-5.8000,4.343210e-05,-162.9810,33.4045,8.961703e-04,1.573203e-04,5.583940e-08
-6.0000,4.290880e-05,-162.9460,32.9697,9.199623e-04,1.593949e-04,6.500670e-08
-6.2000,4.242510e-05,-162.8620,32.5678,9.428067e-04,1.613618e-04,6.056650e-08
-6.4000,4.191880e-05,-162.8480,32.1472,9.676422e-04,1.634733e-04,1.100280e-07
-6.6000,4.150780e-05,-162.9120,31.8057,9.885317e-04,1.652284e-04,2.880690e-08
-6.8000,4.113620e-05,-162.8180,31.4969,1.008006e-03,1.668481e-04,1.016790e-07
-7.0000,4.070040e-05,-162.7690,31.1349,1.031588e-03,1.687884e-04,2.109080e-08
-7.2000,4.021890e-05,-162.7660,30.7348,1.058618e-03,1.709854e-04,3.497930e-08
-7.4000,3.991460e-05,-162.6540,30.4820,1.076252e-03,1.724036e-04,4.499490e-08
-7.6000,3.950380e-05,-162.6130,30.1407,1.100764e-03,1.743559e-04,4.376290e-08
-7.8000,3.921350e-05,-162.6330,29.8995,1.118596e-03,1.757624e-04,2.835230e-08
-8.0000,3.883400e-05,-162.5970,29.5842,1.142567e-03,1.776357e-04,9.800650e-08
-8.2000,3.854200e-05,-162.5490,29.3416,1.161539e-03,1.791045e-04,4.810480e-08
-8.4000,3.819890e-05,-162.5180,29.0565,1.184442e-03,1.808616e-04,1.097920e-07
-8.6000,3.792070e-05,-162.4300,28.8253,1.203513e-03,1.823119e-04,8.019900e-08
-8.8000,3.771500e-05,-162.4300,28.6544,1.217912e-03,1.833992e-04,5.207650e-08
-9.0000,3.741020e-05,-162.5210,28.4012,1.239729e-03,1.850345e-04,7.627810e-08
-9.2000,3.711320e-05,-162.3880,28.1544,1.261555e-03,1.866563e-04,9.034720e-08
-9.4000,3.689880e-05,-162.2940,27.9763,1.277672e-03,1.878448e-04,4.537500e-08
-9.6000,3.659670e-05,-162.3900,27.7253,1.300910e-03,1.895454e-04,3.658310e-08
-9.8000,3.633780e-05,-162.3300,27.5102,1.321334e-03,1.910275e-04,5.145660e-08
-10.0000,3.616440e-05,-162.0970,27.3661,1.335283e-03,1.920331e-04,8.351270e-08
