Vb_set(V),V_R(V),C_j(pF),1/C2(pF-2),w(cm),N(w)(cm-3)
0.0000,-0.0000,90.0375,1.233541e-04,5.836685e-05,nan
-0.2000,0.2000,71.2284,1.971031e-04,7.377960e-05,1.325048e+15
-0.4000,0.4000,61.3223,2.659275e-04,8.569808e-05,1.414788e+15
-0.6000,0.6000,54.9955,3.306330e-04,9.555702e-05,1.494043e+15
-0.8000,0.8000,50.4836,3.923740e-04,1.040973e-04,1.551443e+15
-1.0000,1.0000,47.0152,4.524013e-04,1.117767e-04,1.589892e+15
-1.2000,1.2000,44.2288,5.111975e-04,1.188184e-04,1.614068e+15
-1.4000,1.4000,41.9058,5.694450e-04,1.254052e-04,1.625632e+15
-1.6000,1.6000,39.9231,6.274086e-04,1.316330e-04,1.652215e+15
-1.8000,1.8000,38.2419,6.837864e-04,1.374199e-04,1.692893e+15
-2.0000,2.0000,36.7855,7.390025e-04,1.428606e-04,1.711317e+15
-2.2000,2.2000,35.4847,7.941789e-04,1.480978e-04,1.718424e+15
-2.4000,2.4000,34.3212,8.489384e-04,1.531185e-04,1.741535e+15
-2.6000,2.6000,33.2843,9.026559e-04,1.578885e-04,4.743219e+14
-2.8000,2.8000,28.3157,1.247226e-03,1.855932e-04,1.801039e+15
-3.0000,3.0000,31.5041,1.007549e-03,1.668102e-04,nan
-3.2000,3.2000,30.7264,1.059196e-03,1.710321e-04,1.862201e+15
-3.4000,3.4000,30.0286,1.108997e-03,1.750067e-04,1.837298e+15
-3.6000,3.6000,29.3355,1.162019e-03,1.791415e-04,1.819444e+15
-3.8000,3.8000,28.7144,1.212829e-03,1.830161e-04,2.033569e+15
-4.0000,4.0000,28.2288,1.254918e-03,1.861646e-04,2.039100e+15
-4.2000,4.2000,27.6768,1.305476e-03,1.898777e-04,1.933382e+15
-4.4000,4.4000,27.1901,1.352631e-03,1.932765e-04,2.029615e+15
-4.6000,4.6000,26.7399,1.398556e-03,1.965303e-04,2.066129e+15
-4.8000,4.8000,26.3152,1.444066e-03,1.997023e-04,2.206247e+15
-5.0000,5.0000,25.9571,1.484184e-03,2.024573e-04,2.126481e+15
-5.2000,5.2000,25.5413,1.532906e-03,2.057535e-04,2.120894e+15
-5.4000,5.4000,25.2116,1.573258e-03,2.084441e-04,2.259956e+15
-5.6000,5.6000,24.8721,1.616499e-03,2.112892e-04,2.214445e+15
-5.8000,5.8000,24.5546,1.658569e-03,2.140209e-04,2.224432e+15
-6.0000,6.0000,24.2434,1.701427e-03,2.167685e-04,2.340190e+15
-6.2000,6.2000,23.9780,1.739296e-03,2.191676e-04,2.648301e+15
-6.4000,6.4000,23.7506,1.772762e-03,2.212660e-04,2.804123e+15
-6.6000,6.6000,23.5267,1.806667e-03,2.233719e-04,2.461068e+15
-6.8000,6.8000,23.2525,1.849524e-03,2.260058e-04,2.325642e+15
-7.0000,7.0000,23.0150,1.887899e-03,2.283384e-04,2.593760e+15
-7.2000,7.2000,22.8078,1.922359e-03,2.304129e-04,2.581285e+15
-7.4000,7.4000,22.5814,1.961086e-03,2.327222e-04,2.666430e+15
-7.6000,7.6000,22.3987,1.993209e-03,2.346205e-04,3.321142e+15
-7.8000,7.8000,22.2609,2.017969e-03,2.360732e-04,3.794648e+15
-8.0000,8.0000,22.1241,2.042994e-03,2.375325e-04,2.523362e+15
-8.2000,8.2000,21.8591,2.092836e-03,2.404126e-04,2.370286e+15
-8.4000,8.4000,21.7048,2.122696e-03,2.421215e-04,3.132269e+15
-8.6000,8.6000,21.5508,2.153149e-03,2.438521e-04,3.614452e+15
-8.8000,8.8000,21.4424,2.174963e-03,2.450843e-04,3.179022e+15
-9.0000,9.0000,21.2594,2.212575e-03,2.471943e-04,3.185669e+15
-9.2000,9.2000,21.1560,2.234265e-03,2.484030e-04,4.326597e+15
-9.4000,9.4000,21.0527,2.256239e-03,2.496215e-04,3.058882e+15
-9.6000,9.6000,20.8695,2.296025e-03,2.518128e-04,2.922233e+15
-9.8000,9.8000,20.7574,2.320887e-03,2.531725e-04,4.341312e+15
-10.0000,10.0000,20.6745,2.339541e-03,2.541879e-04,nan
