Vb_set(V),R_1w(V),theta_1w(deg),C_j(pF),1/C2(pF-2),w(cm),R_2w(V)
0.0000,1.115950e-04,-175.3870,90.0375,1.233541e-04,5.836685e-05,2.871450e-06
-0.2000,8.895660e-05,-170.6420,71.2284,1.971031e-04,7.377960e-05,1.267030e-06
-0.4000,7.703370e-05,-169.6680,61.3223,2.659275e-04,8.569808e-05,7.894230e-07
-0.6000,6.941880e-05,-169.0290,54.9955,3.306330e-04,9.555702e-05,5.487300e-07
-0.8000,6.398830e-05,-168.6860,50.4836,3.923740e-04,1.040973e-04,4.257300e-07
-1.0000,5.981380e-05,-168.3850,47.0152,4.524013e-04,1.117767e-04,3.463760e-07
-1.2000,5.646020e-05,-168.1460,44.2288,5.111975e-04,1.188184e-04,2.848700e-07
-1.4000,5.366420e-05,-167.9200,41.9058,5.694450e-04,1.254052e-04,2.595520e-07
-1.6000,5.127790e-05,-167.8450,39.9231,6.274086e-04,1.316330e-04,1.887010e-07
-1.8000,4.925440e-05,-167.6940,38.2419,6.837864e-04,1.374199e-04,1.746060e-07
-2.0000,4.750150e-05,-167.5250,36.7855,7.390025e-04,1.428606e-04,1.830570e-07
-2.2000,4.593580e-05,-167.4410,35.4847,7.941789e-04,1.480978e-04,1.530900e-07
-2.4000,4.453540e-05,-167.2860,34.3212,8.489384e-04,1.531185e-04,1.282250e-07
-2.6000,4.328740e-05,-167.1620,33.2843,9.026559e-04,1.578885e-04,1.042840e-07
-2.8000,3.730730e-05,-167.1340,28.3157,1.247226e-03,1.855932e-04,1.248420e-07
-3.0000,4.114480e-05,-166.9400,31.5041,1.007549e-03,1.668102e-04,9.262640e-08
-3.2000,4.020880e-05,-166.8470,30.7264,1.059196e-03,1.710321e-04,1.214670e-07
-3.4000,3.936890e-05,-166.6880,30.0286,1.108997e-03,1.750067e-04,9.657420e-08
-3.6000,3.853470e-05,-166.6160,29.3355,1.162019e-03,1.791415e-04,8.390020e-08
-3.8000,3.778720e-05,-166.5220,28.7144,1.212829e-03,1.830161e-04,3.412280e-08
-4.0000,3.720270e-05,-166.5100,28.2288,1.254918e-03,1.861646e-04,6.300140e-08
-4.2000,3.653830e-05,-166.2740,27.6768,1.305476e-03,1.898777e-04,4.417560e-08
-4.4000,3.595250e-05,-166.2150,27.1901,1.352631e-03,1.932765e-04,3.595540e-08
-4.6000,3.541070e-05,-166.0730,26.7399,1.398556e-03,1.965303e-04,5.998720e-08
-4.8000,3.489950e-05,-166.0350,26.3152,1.444066e-03,1.997023e-04,4.358800e-08
-5.0000,3.446850e-05,-165.9050,25.9571,1.484184e-03,2.024573e-04,8.956200e-08
-5.2000,3.396800e-05,-165.6410,25.5413,1.532906e-03,2.057535e-04,3.070860e-08
-5.4000,3.357120e-05,-165.6420,25.2116,1.573258e-03,2.084441e-04,6.204610e-08
-5.6000,3.316260e-05,-165.6290,24.8721,1.616499e-03,2.112892e-04,3.201770e-08
-5.8000,3.278050e-05,-165.5770,24.5546,1.658569e-03,2.140209e-04,6.517470e-08
-6.0000,3.240590e-05,-165.4280,24.2434,1.701427e-03,2.167685e-04,7.210260e-08
-6.2000,3.208650e-05,-165.4060,23.9780,1.739296e-03,2.191676e-04,6.161040e-08
-6.4000,3.181280e-05,-165.2430,23.7506,1.772762e-03,2.212660e-04,3.327700e-08
-6.6000,3.154330e-05,-165.1520,23.5267,1.806667e-03,2.233719e-04,1.265540e-07
-6.8000,3.121330e-05,-165.0740,23.2525,1.849524e-03,2.260058e-04,7.836800e-08
-7.0000,3.092740e-05,-164.9820,23.0150,1.887899e-03,2.283384e-04,4.472340e-08
-7.2000,3.067800e-05,-164.8940,22.8078,1.922359e-03,2.304129e-04,8.009600e-08
-7.4000,3.040560e-05,-164.9150,22.5814,1.961086e-03,2.327222e-04,7.401290e-08
-7.6000,3.018570e-05,-164.7590,22.3987,1.993209e-03,2.346205e-04,3.809980e-09
-7.8000,3.001980e-05,-164.7530,22.2609,2.017969e-03,2.360732e-04,5.635620e-08
-8.0000,2.985520e-05,-164.6140,22.1241,2.042994e-03,2.375325e-04,1.960730e-08
-8.2000,2.953620e-05,-164.5900,21.8591,2.092836e-03,2.404126e-04,7.666210e-08
-8.4000,2.935050e-05,-164.4480,21.7048,2.122696e-03,2.421215e-04,6.337150e-08
-8.6000,2.916510e-05,-164.4140,21.5508,2.153149e-03,2.438521e-04,1.069960e-07
-8.8000,2.903470e-05,-164.2410,21.4424,2.174963e-03,2.450843e-04,4.301000e-09
-9.0000,2.881440e-05,-164.2180,21.2594,2.212575e-03,2.471943e-04,6.935970e-08
-9.2000,2.868990e-05,-164.2180,21.1560,2.234265e-03,2.484030e-04,4.550920e-08
-9.4000,2.856560e-05,-164.0990,21.0527,2.256239e-03,2.496215e-04,5.032160e-08
-9.6000,2.834510e-05,-164.0160,20.8695,2.296025e-03,2.518128e-04,1.848080e-08
-9.8000,2.821020e-05,-163.9870,20.7574,2.320887e-03,2.531725e-04,9.830620e-08
-10.0000,2.811040e-05,-163.8100,20.6745,2.339541e-03,2.541879e-04,1.374320e-07
