Vb_set(V),V_R(V),C_j(pF),1/C2(pF-2),w(cm),N(w)(cm-3)
0.0000,-0.0000,88.8444,1.266894e-04,5.915066e-05,nan
-0.2000,0.2000,68.7568,2.115284e-04,7.643176e-05,1.117649e+15
-0.4000,0.4000,58.1514,2.957197e-04,9.037111e-05,1.141019e+15
-0.6000,0.6000,51.4960,3.770966e-04,1.020507e-04,1.167877e+15
-0.8000,0.8000,46.7535,4.574803e-04,1.124024e-04,1.169025e+15
-1.0000,1.0000,43.0851,5.386984e-04,1.219726e-04,1.149613e+15
-1.2000,1.2000,40.1024,6.218109e-04,1.310445e-04,1.128145e+15
-1.4000,1.4000,37.6313,7.061561e-04,1.396497e-04,1.111416e+15
-1.6000,1.6000,35.5382,7.917892e-04,1.478748e-04,1.118721e+15
-1.8000,1.8000,33.8057,8.750244e-04,1.554532e-04,1.121446e+15
-2.0000,2.0000,32.2707,9.602472e-04,1.628475e-04,1.114910e+15
-2.2000,2.2000,30.9423,1.044470e-03,1.698390e-04,1.121208e+15
-2.4000,2.4000,29.7648,1.128741e-03,1.765577e-04,1.125669e+15
-2.6000,2.6000,28.7207,1.212296e-03,1.829759e-04,1.125750e+15
-2.8000,2.8000,27.7718,1.296555e-03,1.892278e-04,1.138415e+15
-3.0000,3.0000,26.9362,1.378243e-03,1.950978e-04,1.165094e+15
-3.2000,3.2000,26.1828,1.458702e-03,2.007118e-04,1.177241e+15
-3.4000,3.4000,25.4930,1.538717e-03,2.061431e-04,1.172142e+15
-3.6000,3.6000,24.8462,1.619874e-03,2.115096e-04,1.167420e+15
-3.8000,3.8000,24.2497,1.700541e-03,2.167121e-04,1.204909e+15
-4.0000,4.0000,23.7245,1.776663e-03,2.215093e-04,1.231593e+15
-4.2000,4.2000,23.2249,1.853933e-03,2.262750e-04,1.171459e+15
-4.4000,4.4000,22.7160,1.937929e-03,2.313441e-04,1.291137e+15
-4.6000,4.6000,22.3593,2.000251e-03,2.350346e-04,1.393992e+15
-4.8000,4.8000,21.9610,2.073451e-03,2.392965e-04,1.336450e+15
-5.0000,5.0000,21.6088,2.141608e-03,2.431977e-04,1.272825e+15
-5.2000,5.2000,21.2149,2.221874e-03,2.477132e-04,1.270095e+15
-5.4000,5.4000,20.8953,2.290350e-03,2.515014e-04,1.423561e+15
-5.6000,5.6000,20.6083,2.354581e-03,2.550036e-04,1.314421e+15
-5.8000,5.8000,20.2690,2.434076e-03,2.592726e-04,1.352544e+15
-6.0000,6.0000,20.0230,2.494256e-03,2.624581e-04,1.528612e+15
-6.2000,6.2000,19.7733,2.557663e-03,2.657732e-04,1.445255e+15
-6.4000,6.4000,19.5181,2.624971e-03,2.692476e-04,1.530469e+15
-6.6000,6.6000,19.3127,2.681100e-03,2.721109e-04,1.626138e+15
-6.8000,6.8000,19.1000,2.741146e-03,2.751412e-04,1.770423e+15
-7.0000,7.0000,18.9395,2.787807e-03,2.774731e-04,1.798914e+15
-7.2000,7.2000,18.7443,2.846163e-03,2.803621e-04,1.545165e+15
-7.4000,7.4000,18.5374,2.910070e-03,2.834923e-04,1.597779e+15
-7.6000,7.6000,18.3667,2.964400e-03,2.861264e-04,1.757461e+15
-7.8000,7.8000,18.2042,3.017564e-03,2.886807e-04,1.885357e+15
-8.0000,8.0000,18.0640,3.064602e-03,2.909220e-04,1.613857e+15
-8.2000,8.2000,17.8611,3.134623e-03,2.942267e-04,1.637214e+15
-8.4000,8.4000,17.7332,3.179991e-03,2.963483e-04,2.080945e+15
-8.6000,8.6000,17.6079,3.225407e-03,2.984570e-04,1.713233e+15
-8.8000,8.8000,17.4335,3.290260e-03,3.014426e-04,2.203237e+15
-9.0000,9.0000,17.3784,3.311152e-03,3.023981e-04,2.276542e+15
-9.2000,9.2000,17.2177,3.373244e-03,3.052203e-04,1.728976e+15
-9.4000,9.4000,17.0986,3.420417e-03,3.073470e-04,3.084654e+15
-9.6000,9.6000,17.0635,3.434488e-03,3.079786e-04,3.268622e+15
-9.8000,9.8000,16.9559,3.478214e-03,3.099329e-04,1.487122e+15
-10.0000,10.0000,16.7565,3.561523e-03,3.136226e-04,nan
