Vb_set(V),V_R(V),C_j(pF),1/C2(pF-2),w(cm),N(w)(cm-3)
0.0000,-0.0000,93.6193,1.140958e-04,5.613378e-05,nan
-0.2000,0.2000,81.6924,1.498429e-04,6.432913e-05,2.763218e+15
-0.4000,0.4000,74.0306,1.824641e-04,7.098690e-05,2.967647e+15
-0.6000,0.6000,68.4383,2.135016e-04,7.678742e-05,3.081574e+15
-0.8000,0.8000,64.0487,2.437693e-04,8.205009e-05,3.157724e+15
-1.0000,1.0000,60.4864,2.733284e-04,8.688242e-05,3.224547e+15
-1.2000,1.2000,57.5096,3.023563e-04,9.137955e-05,3.275792e+15
-1.4000,1.4000,54.9651,3.309989e-04,9.560988e-05,3.310016e+15
-1.6000,1.6000,52.7464,3.594305e-04,9.963157e-05,3.358779e+15
-1.8000,1.8000,50.8168,3.872445e-04,1.034147e-04,3.427337e+15
-2.0000,2.0000,49.1146,4.145510e-04,1.069987e-04,3.438892e+15
-2.2000,2.2000,47.5555,4.421798e-04,1.105068e-04,3.454581e+15
-2.4000,2.4000,46.1641,4.692368e-04,1.138375e-04,3.487784e+15
-2.6000,2.6000,44.8857,4.963450e-04,1.170796e-04,3.542506e+15
-2.8000,2.8000,43.7451,5.225653e-04,1.201323e-04,3.624027e+15
-3.0000,3.0000,42.6994,5.484739e-04,1.230743e-04,3.585536e+15
-3.2000,3.2000,41.6937,5.752538e-04,1.260432e-04,3.590832e+15
-3.4000,3.4000,40.7880,6.010847e-04,1.288420e-04,3.599329e+15
-3.6000,3.6000,39.9126,6.277404e-04,1.316678e-04,3.690108e+15
-3.8000,3.8000,39.1546,6.522801e-04,1.342167e-04,3.682009e+15
-4.0000,4.0000,38.3751,6.790484e-04,1.369430e-04,3.757828e+15
-4.2000,4.2000,37.7277,7.025529e-04,1.392929e-04,3.890854e+15
-4.4000,4.4000,37.0726,7.276024e-04,1.417544e-04,3.742656e+15
-4.6000,4.6000,36.4413,7.530295e-04,1.442100e-04,3.854016e+15
-4.8000,4.8000,35.8836,7.766205e-04,1.464515e-04,3.894544e+15
-5.0000,5.0000,35.3214,8.015375e-04,1.487824e-04,3.730476e+15
-5.2000,5.2000,34.7679,8.272619e-04,1.511510e-04,4.057939e+15
-5.4000,5.4000,34.3383,8.480923e-04,1.530422e-04,4.041134e+15
-5.6000,5.6000,33.8253,8.740103e-04,1.553631e-04,3.929376e+15
-5.8000,5.8000,33.4045,8.961703e-04,1.573203e-04,4.111171e+15
-6.0000,6.0000,32.9697,9.199623e-04,1.593949e-04,4.050839e+15
-6.2000,6.2000,32.5678,9.428067e-04,1.613618e-04,3.962184e+15
-6.4000,6.4000,32.1472,9.676422e-04,1.634733e-04,4.131581e+15
-6.6000,6.6000,31.8057,9.885317e-04,1.652284e-04,4.680346e+15
-6.8000,6.8000,31.4969,1.008006e-03,1.668481e-04,4.387663e+15
-7.0000,7.0000,31.1349,1.031588e-03,1.687884e-04,3.732643e+15
-7.2000,7.2000,30.7348,1.058618e-03,1.709854e-04,4.229727e+15
-7.4000,7.4000,30.4820,1.076252e-03,1.724036e-04,4.482431e+15
-7.6000,7.6000,30.1407,1.100764e-03,1.743559e-04,4.461471e+15
-7.8000,7.8000,29.8995,1.118596e-03,1.757624e-04,4.519210e+15
-8.0000,8.0000,29.5842,1.142567e-03,1.776357e-04,4.399239e+15
-8.2000,8.2000,29.3416,1.161539e-03,1.791045e-04,4.511440e+15
-8.4000,8.4000,29.0565,1.184442e-03,1.808616e-04,4.500799e+15
-8.6000,8.6000,28.8253,1.203513e-03,1.823119e-04,5.644354e+15
-8.8000,8.8000,28.6544,1.217912e-03,1.833992e-04,5.216383e+15
-9.0000,9.0000,28.4012,1.239729e-03,1.850345e-04,4.328679e+15
-9.2000,9.2000,28.1544,1.261555e-03,1.866563e-04,4.978956e+15
-9.4000,9.4000,27.9763,1.277672e-03,1.878448e-04,4.800319e+15
-9.6000,9.6000,27.7253,1.300910e-03,1.895454e-04,4.326795e+15
-9.8000,9.8000,27.5102,1.321334e-03,1.910275e-04,5.496074e+15
-10.0000,10.0000,27.3661,1.335283e-03,1.920331e-04,nan
